Term Amount,Time (ms)
0,0.005
10,0.011
20,0.007
30,0.009
40,0.01
50,0.013
60,0.014
70,0.015
80,0.029
90,0.028
100,0.021
110,0.025
120,0.027
130,0.029
140,0.031
150,0.037
160,0.034
170,0.044
180,0.04
190,0.041
200,0.048
210,0.045
220,0.05
230,0.061
240,0.052
250,0.054
260,0.058
270,0.059
280,0.121
290,0.063
300,0.064
310,0.072
320,0.071
330,0.09
340,0.074
350,0.075
360,0.089
370,0.079
380,0.082
390,0.086
400,0.092
410,0.087
420,0.09
430,0.1
440,0.098
450,0.094
460,0.102
470,0.097
480,0.136
490,0.225
500,0.231
510,0.223
520,0.244
530,0.23
540,0.125
550,0.125
560,0.125
570,0.124
580,0.117
590,0.13
600,0.122
610,0.122
620,0.124
630,0.134
640,0.128
650,0.134
660,0.147
670,0.133
680,0.136
690,0.144
700,0.138
710,0.142
720,0.153
730,0.155
740,0.264
750,0.16
760,0.152
770,0.164
780,0.159
790,0.157
800,0.166
810,0.161
820,0.161
830,0.177
840,0.166
850,0.179
860,0.172
870,0.179
880,0.173
890,0.178
900,0.185
910,0.18
920,0.186
930,0.181
940,0.195
950,0.185
960,0.188
970,0.196
980,0.19
990,0.206
1000,0.199
1010,0.208
1020,0.202
1030,0.222
1040,0.212
1050,0.227
1060,0.209
1070,0.216
1080,0.22
1090,0.237
1100,0.234
1110,0.228
1120,0.227
1130,0.257
1140,0.231
1150,0.229
1160,0.236
1170,0.247
1180,0.233
1190,0.242
1200,0.235
1210,0.247
1220,0.254
1230,0.249
1240,0.25
1250,0.253
1260,0.255
1270,0.254
1280,0.277
1290,0.401
1300,0.253
1310,0.263
1320,0.265
1330,0.266
1340,0.268
1350,0.265
1360,0.274
1370,0.274
1380,0.264
1390,0.28
1400,0.278
1410,0.28
1420,0.288
1430,0.28
1440,0.289
1450,0.287
1460,0.323
1470,0.528
1480,0.309
1490,0.3
1500,0.298
1510,0.298
1520,0.301
1530,0.305
1540,0.299
1550,0.312
1560,0.312
1570,0.314
1580,0.314
1590,0.316
1600,0.319
1610,0.324
1620,0.313
1630,0.321
1640,0.34
1650,0.326
1660,0.32
1670,0.336
1680,0.359
1690,0.339
1700,0.344
1710,0.348
1720,0.339
1730,0.35
1740,0.343
1750,0.35
1760,0.353
1770,0.351
1780,0.398
1790,0.538
1800,0.511
1810,0.367
1820,0.387
1830,0.534
1840,0.372
1850,0.412
1860,0.557
1870,0.822
1880,0.751
1890,0.736
1900,0.755
1910,0.639
1920,0.579
1930,0.689
1940,0.622
1950,0.654
1960,0.715
1970,0.654
1980,0.57
1990,0.713
2000,0.878
2010,0.605
2020,0.815
2030,0.901
2040,0.769
2050,0.443
2060,0.41
2070,0.513
2080,0.507
2090,0.518
2100,0.414
2110,0.51
2120,0.423
2130,0.469
2140,0.435
2150,0.488
2160,0.436
2170,0.478
2180,0.429
2190,0.457
2200,0.434
2210,0.435
2220,0.46
2230,0.468
2240,0.461
2250,0.447
2260,0.538
2270,0.481
2280,0.461
2290,0.564
2300,0.514
2310,0.46
2320,0.501
2330,0.472
2340,0.566
2350,0.469
2360,0.644
2370,0.495
2380,0.47
2390,0.488
2400,0.482
2410,0.486
2420,0.483
2430,0.49
2440,0.484
2450,0.496
2460,0.486
2470,0.498
2480,0.517
2490,0.511
2500,0.524
2510,0.535
2520,0.502
2530,0.544
2540,0.514
2550,0.527
2560,0.508
2570,0.58
2580,0.509
2590,0.535
2600,0.513
2610,0.525
2620,0.515
2630,0.61
2640,0.559
2650,0.527
2660,0.62
2670,0.654
2680,0.568
2690,0.566
2700,0.536
2710,0.593
2720,0.541
2730,0.63
2740,0.563
2750,0.543
2760,0.609
2770,0.771
2780,0.557
2790,0.579
2800,0.557
2810,0.62
2820,0.557
2830,0.585
2840,0.602
2850,0.56
2860,0.633
2870,0.567
2880,0.656
2890,0.574
2900,0.574
2910,0.6
2920,0.58
2930,1.377
2940,1.105
2950,1.095
2960,0.922
2970,0.61
2980,0.58
2990,0.596
3000,0.587
3010,0.809
3020,0.604
3030,0.59
3040,0.624
3050,0.633
3060,0.596
3070,0.7
3080,0.638
3090,0.591
3100,0.688
3110,0.616
3120,0.604
3130,0.617
3140,0.607
3150,1.039
3160,0.627
3170,0.672
3180,0.622
3190,0.767
3200,0.664
3210,0.621
3220,0.641
3230,0.627
3240,0.63
3250,0.739
3260,0.647
3270,0.962
3280,0.816
3290,0.637
3300,0.682
3310,0.675
3320,0.636
3330,0.762
3340,0.656
3350,0.647
3360,0.657
3370,0.713
3380,0.653
3390,0.834
3400,0.756
3410,0.709
3420,0.667
3430,0.678
3440,0.736
3450,0.676
3460,0.674
3470,0.776
3480,0.713
3490,0.897
3500,0.685
3510,0.682
3520,0.843
3530,0.736
3540,1.031
3550,1.211
3560,1.071
3570,1.234
3580,1.077
3590,1.3
3600,1.125
3610,1.082
3620,0.734
3630,0.814
3640,0.727
3650,0.734
3660,0.73
3670,0.84
3680,0.729
3690,0.726
3700,0.733
3710,0.729
3720,0.737
3730,0.739
3740,0.749
3750,0.732
3760,0.92
3770,0.799
3780,0.77
3790,0.752
3800,0.737
3810,0.751
3820,0.862
3830,0.756
3840,0.759
3850,0.751
3860,0.756
3870,0.768
3880,0.762
3890,1.089
3900,0.764
3910,0.758
3920,0.832
3930,0.766
3940,0.782
3950,0.779
