Term Amount,Time (ms)
0,0.005
10,0.013
20,0.011
30,0.011
40,0.014
50,0.017
60,0.02
70,0.025
80,0.027
90,0.03
100,0.043
110,0.038
120,0.043
130,0.043
140,0.048
150,0.05
160,0.061
170,0.056
180,0.059
190,0.063
200,0.074
210,0.069
220,0.07
230,0.076
240,0.086
250,0.081
260,0.085
270,0.094
280,0.095
290,0.103
300,0.098
310,0.102
320,0.114
330,0.109
340,0.118
350,0.115
360,0.131
370,0.158
380,0.128
390,0.137
400,0.263
410,0.297
420,1.557
430,0.319
440,0.299
450,0.302
460,0.292
470,0.986
480,0.377
490,0.358
500,0.349
510,0.358
520,0.351
530,0.354
540,0.394
550,0.373
560,0.383
570,0.385
580,0.405
590,0.422
600,0.414
610,0.409
620,0.423
630,0.491
640,0.449
650,0.449
660,0.808
670,0.42
680,0.467
690,0.443
700,0.459
710,0.46
720,0.469
730,0.563
740,0.516
750,0.526
760,0.511
770,0.505
780,0.504
790,0.516
800,0.44
810,0.511
820,0.539
830,0.463
840,0.556
850,0.562
860,0.562
870,0.572
880,0.605
890,0.578
900,0.58
910,0.585
920,0.61
930,0.603
940,0.528
950,0.32
960,0.313
970,0.34
980,0.348
990,0.328
1000,0.417
1010,0.627
1020,0.951
1030,1.011
1040,0.82
1050,0.845
1060,0.958
1070,0.72
1080,0.752
1090,0.895
1100,0.779
1110,0.753
1120,0.736
1130,0.754
1140,0.749
1150,0.836
1160,0.778
1170,0.784
1180,0.783
1190,0.785
1200,0.843
1210,0.808
1220,0.81
1230,0.82
1240,0.832
1250,0.819
1260,0.836
1270,0.829
1280,0.856
1290,0.889
1300,0.847
1310,0.854
1320,0.884
1330,0.871
1340,0.872
1350,0.89
1360,0.884
1370,0.904
1380,1.036
1390,0.941
1400,0.919
1410,0.926
1420,0.924
1430,0.916
1440,0.94
1450,0.941
1460,0.95
1470,0.99
1480,0.991
1490,0.961
1500,0.969
1510,0.998
1520,0.98
1530,0.995
1540,0.993
1550,1.006
1560,1.052
1570,1.107
1580,1.07
1590,1.046
1600,1.046
1610,1.046
1620,1.065
1630,1.062
1640,1.12
1650,1.097
1660,1.103
1670,1.066
1680,1.085
1690,1.112
1700,1.091
1710,1.141
1720,1.14
1730,1.135
1740,1.111
1750,1.129
1760,1.122
1770,0.881
1780,1.236
1790,1.142
1800,1.154
1810,1.149
1820,1.189
1830,1.183
1840,1.179
1850,1.19
1860,1.199
1870,1.225
1880,1.202
1890,1.247
1900,1.232
1910,1.215
1920,1.254
1930,1.223
1940,1.234
1950,1.243
1960,1.274
1970,1.265
1980,1.254
1990,1.338
2000,1.346
2010,1.072
2020,0.984
2030,1.06
2040,0.984
2050,1.106
2060,1.316
2070,1.305
2080,1.331
2090,1.327
2100,1.325
2110,1.377
2120,1.35
2130,1.33
2140,1.397
2150,1.349
2160,1.385
2170,1.367
2180,1.168
2190,0.72
2200,0.709
2210,0.714
2220,0.721
2230,0.716
2240,0.719
2250,0.732
2260,0.819
2270,0.749
2280,0.736
2290,0.75
2300,0.758
2310,0.797
2320,0.753
2330,0.745
2340,0.757
2350,0.771
2360,0.757
2370,0.762
2380,0.762
2390,0.766
2400,0.78
2410,0.778
2420,0.781
2430,0.783
2440,0.798
2450,0.795
2460,0.8
2470,0.798
2480,0.81
2490,0.799
2500,0.832
2510,0.811
2520,0.814
2530,0.816
2540,0.822
2550,0.821
2560,0.816
2570,0.812
2580,0.824
2590,0.831
2600,0.822
2610,1.305
2620,1.151
2630,0.835
2640,0.985
2650,1.474
2660,0.857
2670,0.845
2680,0.865
2690,0.875
2700,0.869
2710,0.867
2720,0.857
2730,0.913
2740,0.883
2750,0.909
2760,0.894
2770,0.884
2780,0.896
2790,0.879
2800,0.897
2810,0.883
2820,0.958
2830,0.904
2840,0.893
2850,0.895
2860,0.899
2870,0.908
2880,0.909
2890,0.938
2900,0.904
2910,0.91
2920,0.921
2930,0.915
2940,0.934
2950,0.912
2960,0.937
2970,0.938
2980,0.941
2990,0.947
3000,0.933
3010,0.926
3020,0.953
3030,0.944
3040,0.959
3050,1.202
3060,1.282
3070,1.508
3080,1.442
3090,1.503
3100,1.402
3110,1.346
3120,1.01
3130,0.99
3140,0.978
3150,0.993
3160,0.989
3170,1.001
3180,0.997
3190,1.007
3200,1.012
3210,1.015
3220,1.014
3230,1.004
3240,1.025
3250,1.014
3260,1.023
3270,1.109
3280,1.273
3290,1.053
3300,1.04
3310,1.04
3320,1.044
3330,1.037
3340,1.045
3350,1.059
3360,1.1
3370,1.059
3380,1.052
3390,1.059
3400,1.057
3410,1.068
3420,1.07
3430,1.077
3440,1.066
3450,1.102
3460,1.085
3470,1.084
3480,1.084
3490,1.08
3500,1.097
3510,1.083
3520,1.097
3530,1.085
3540,1.093
3550,1.084
3560,1.104
3570,1.123
3580,1.107
3590,1.111
3600,1.101
3610,1.107
3620,1.18
3630,1.14
3640,1.158
3650,1.191
3660,1.165
3670,1.163
3680,1.169
3690,1.138
3700,1.144
3710,1.275
3720,1.19
3730,1.158
3740,1.17
3750,1.167
3760,1.202
3770,1.164
3780,1.163
3790,1.176
3800,1.188
3810,1.184
3820,1.19
3830,1.17
3840,1.226
3850,1.2
3860,1.19
3870,1.21
3880,1.217
3890,1.208
3900,1.207
3910,1.191
3920,1.213
3930,1.218
3940,1.556
3950,1.963
3960,1.995
3970,2.18
3980,2.012
3990,1.286
4000,1.308
4010,1.285
4020,1.368
4030,1.408
4040,1.296
4050,1.287
4060,1.281
4070,1.491
4080,1.346
4090,1.442
4100,1.302
4110,1.291
4120,1.304
4130,1.343
4140,1.311
4150,1.331
4160,1.369
4170,1.322
4180,1.303
4190,1.366
4200,1.339
4210,1.326
4220,1.325
4230,1.33
4240,1.385
4250,1.335
4260,1.333
4270,1.502
4280,1.329
4290,1.329
4300,1.336
4310,1.635
4320,1.34
4330,1.353
4340,1.331
4350,1.346
4360,1.365
4370,1.36
4380,1.363
4390,1.359
4400,1.663
4410,1.971
4420,2.222
4430,1.519
4440,1.895
4450,2.332
4460,1.745
4470,1.846
4480,1.555
4490,1.508
4500,1.418
4510,1.408
4520,1.408
4530,1.433
4540,1.873
4550,1.47
4560,1.544
4570,1.533
4580,1.642
4590,2.237
4600,3.046
4610,3.696
4620,3.16
4630,2.777
4640,2.784
4650,2.313
4660,2.155
4670,1.479
4680,1.486
4690,2.04
4700,1.503
4710,1.498
4720,1.549
4730,1.683
4740,1.724
4750,2.772
4760,3.287
4770,1.617
4780,1.523
4790,1.578
4800,1.507
4810,1.486
4820,1.599
4830,1.528
4840,1.505
4850,1.514
4860,1.543
4870,1.515
4880,1.594
4890,1.567
4900,1.684
4910,3.933
4920,2.051
4930,1.548
4940,1.531
4950,1.544
4960,1.55
4970,1.786
4980,1.654
4990,1.546
