Term Amount,Peak Memory (b)
0,0
10,160
20,320
30,480
40,640
50,800
60,960
70,1120
80,1280
90,1440
100,1600
110,1760
120,1920
130,2080
140,2240
150,2400
160,2560
170,2720
180,2880
190,3040
200,3200
210,3360
220,3520
230,3680
240,3840
250,4000
260,4160
270,4320
280,4480
290,4640
300,4800
310,4960
320,5120
330,5280
340,5440
350,5600
360,5760
370,5920
380,6080
390,6240
400,6400
410,6560
420,6720
430,6880
440,7040
450,7200
460,7360
470,7520
480,7680
490,7840
500,8000
510,8160
520,8320
530,8480
540,8640
550,8800
560,8960
570,9120
580,9280
590,9440
600,9600
610,9760
620,9920
630,10080
640,10240
650,10400
660,10560
670,10720
680,10880
690,11040
700,11200
710,11360
720,11520
730,11680
740,11840
750,12000
760,12160
770,12320
780,12480
790,12640
800,12800
810,12960
820,13120
830,13280
840,13440
850,13600
860,13760
870,13920
880,14080
890,14240
900,14400
910,14560
920,14720
930,14880
940,15040
950,15200
960,15360
970,15520
980,15680
990,15840
1000,16000
1010,16160
1020,16320
1030,16480
1040,16640
1050,16800
1060,16960
1070,17120
1080,17280
1090,17440
1100,17600
1110,17760
1120,17920
1130,18080
1140,18240
1150,18400
1160,18560
1170,18720
1180,18880
1190,19040
1200,19200
1210,19360
1220,19520
1230,19680
1240,19840
1250,20000
1260,20160
1270,20320
1280,20480
1290,20640
1300,20800
1310,20960
1320,21120
1330,21280
1340,21440
1350,21600
1360,21760
1370,21920
1380,22080
1390,22240
1400,22400
1410,22560
1420,22720
1430,22880
1440,23040
1450,23200
1460,23360
1470,23520
1480,23680
1490,23840
1500,24000
1510,24160
1520,24320
1530,24480
1540,24640
1550,24800
1560,24960
1570,25120
1580,25280
1590,25440
1600,25600
1610,25760
1620,25920
1630,26080
1640,26240
1650,26400
1660,26560
1670,26720
1680,26880
1690,27040
1700,27200
1710,27360
1720,27520
1730,27680
1740,27840
1750,28000
1760,28160
1770,28320
1780,28480
1790,28640
1800,28800
1810,28960
1820,29120
1830,29280
1840,29440
1850,29600
1860,29760
1870,29920
1880,30080
1890,30240
1900,30400
1910,30560
1920,30720
1930,30880
1940,31040
1950,31200
1960,31360
1970,31520
1980,31680
1990,31840
2000,32000
2010,32160
2020,32320
2030,32480
2040,32640
