Term Amount,Time (ms)
0,0.005
10,0.024
20,0.131
30,0.201
40,0.307
50,0.509
60,0.727
70,1.159
80,1.515
90,1.863
100,2.88
110,1.984
120,2.203
130,2.801
140,3.432
150,3.882
160,4.343
170,4.818
180,4.955
190,5.406
200,6.141
210,6.422
220,7.434
230,10.555
240,13.028
250,8.401
260,11.751
270,11.257
280,10.52
290,10.866
300,12.062
310,13.026
320,13.721
330,13.428
340,17.895
350,16.974
360,19.264
370,20.391
380,23.602
390,27.967
400,24.153
410,25.615
420,26.721
430,33.624
440,33.064
450,34.771
460,50.011
470,34.828
480,42.184
490,45.403
500,33.712
510,34.885
520,33.709
530,61.022
540,34.331
550,35.598
560,45.296
570,38.737
580,48.001
590,43.665
600,46.567
610,40.923
620,49.726
630,44.388
640,47.061
650,48.607
660,48.363
670,53.429
680,65.38
690,58.27
700,68.979
710,70.123
720,62.672
730,65.604
740,65.146
750,65.217
760,71.797
770,88.708
780,74.841
790,75.307
800,77.488
810,81.963
820,87.626
830,85.05
840,97.977
850,115.251
860,93.135
870,93.496
880,107.353
890,99.385
900,100.877
910,111.12
920,179.563
930,112.493
940,127.477
950,127.09
960,140.709
970,133.325
980,140.27
990,132.956
1000,136.013
1010,129.845
1020,166.214
1030,155.743
1040,139.51
1050,139.81
1060,145.128
1070,161.817
1080,152.555
1090,166.413
1100,225.333
1110,156.695
1120,168.126
1130,167.865
1140,166.482
1150,196.437
1160,202.007
1170,180.19
1180,188.259
1190,185.035
1200,188.71
1210,224.606
1220,196.972
1230,202.28
1240,203.292
1250,231.601
1260,280.92
1270,222.453
1280,220.701
1290,216.898
1300,234.955
1310,248.935
1320,237.95
1330,235.975
1340,242.849
1350,262.202
1360,260.446
1370,246.755
1380,254.654
1390,271.878
1400,283.152
1410,271.324
1420,274.498
1430,375.41
1440,277.207
1450,282.693
1460,310.976
1470,329.083
1480,334.366
1490,309.04
1500,347.51
1510,356.765
1520,312.968
1530,346.728
1540,316.688
1550,318.698
1560,329.703
1570,374.846
1580,332.112
1590,347.851
1600,387.696
1610,357.764
1620,365.874
1630,401.315
1640,375.957
1650,395.19
1660,382.372
1670,377.129
1680,413.454
1690,389.012
1700,405.807
1710,491.637
1720,419.259
1730,479.061
1740,465.465
1750,422.041
1760,453.045
1770,478.077
1780,465.003
1790,450.495
1800,455.127
1810,469.261
1820,450.139
1830,503.452
1840,474.344
1850,504.064
1860,472.217
1870,517.315
1880,483.146
1890,516.02
1900,500.522
1910,504.99
1920,599.445
1930,521.409
1940,579.657
1950,548.603
1960,561.156
1970,590.363
1980,550.651
1990,561.095
2000,562.708
2010,574.912
2020,573.601
2030,610.897
2040,578.192
2050,618.211
2060,582.71
2070,627.014
2080,595.988
2090,685.772
2100,690.05
2110,641.713
2120,658.48
2130,694.539
2140,645.421
2150,662.392
2160,645.4
2170,686.774
2180,716.197
2190,692.066
2200,714.89
2210,707.243
