Term Amount,Time (ms)
0,0.001
10,0.001
20,0.001
30,0.002
40,0.003
50,0.003
60,0.004
70,0.017
80,0.005
90,0.005
100,0.007
110,0.006
120,0.007
130,0.008
140,0.009
150,0.009
160,0.01
170,0.01
180,0.01
190,0.011
200,0.012
210,0.013
220,0.013
230,0.014
240,0.014
250,0.021
260,0.016
270,0.016
280,0.017
290,0.017
300,0.019
310,0.018
320,0.02
330,0.02
340,0.02
350,0.026
360,0.021
370,0.022
380,0.022
390,0.023
400,0.024
410,0.025
420,0.031
430,0.026
440,0.027
450,0.027
460,0.027
470,0.028
480,0.034
490,0.03
500,0.03
510,0.031
520,0.031
530,0.031
540,0.042
550,0.033
560,0.034
570,0.035
580,0.035
590,0.035
600,0.057
610,0.036
620,0.037
630,0.037
640,0.039
650,0.045
660,0.039
670,0.04
680,0.041
690,0.047
700,0.042
710,0.042
720,0.043
730,0.044
740,0.05
750,0.045
760,0.045
770,0.046
780,0.052
790,0.047
800,0.048
810,0.052
820,0.054
830,0.05
840,0.05
850,0.051
860,0.057
870,0.052
880,0.053
890,0.053
900,0.059
910,0.054
920,0.055
930,0.061
940,0.056
950,0.057
960,0.062
970,0.061
980,0.058
990,0.06
1000,0.065
1010,0.06
1020,0.061
1030,0.067
1040,0.062
1050,0.063
1060,0.068
1070,0.064
1080,0.065
1090,0.071
1100,0.065
1110,0.066
1120,0.075
1130,0.068
1140,0.068
1150,0.074
1160,0.069
1170,0.074
1180,0.071
1190,0.071
1200,0.077
1210,0.073
1220,0.073
1230,0.079
1240,0.074
1250,0.083
1260,0.075
1270,0.076
1280,0.082
1290,0.077
1300,0.083
1310,0.078
1320,0.079
1330,0.085
1340,0.08
1350,0.086
1360,0.081
1370,0.127
1380,0.102
1390,0.101
1400,0.111
1410,0.102
1420,0.11
1430,0.105
1440,0.105
1450,0.093
1460,0.095
1470,0.095
1480,0.089
1490,0.095
1500,0.091
1510,0.098
1520,0.114
1530,0.099
1540,0.093
1550,0.106
1560,0.096
1570,0.1
1580,0.1
1590,0.095
1600,0.101
1610,0.097
1620,0.102
1630,0.098
1640,0.108
1650,0.105
1660,0.1
1670,0.106
1680,0.1
1690,0.109
1700,0.106
1710,0.102
1720,0.108
1730,0.112
1740,0.103
1750,0.109
1760,0.105
1770,0.11
1780,0.111
1790,0.107
1800,0.113
1810,0.113
1820,0.114
1830,0.115
1840,0.115
1850,0.11
1860,0.116
1870,0.116
1880,0.112
1890,0.118
1900,0.125
1910,0.114
1920,0.119
1930,0.121
1940,0.116
1950,0.121
1960,0.122
1970,0.117
1980,0.127
1990,0.124
2000,0.124
2010,0.12
2020,0.126
2030,0.126
2040,0.127
2050,0.123
2060,0.131
2070,0.129
2080,0.124
2090,0.13
2100,0.13
2110,0.131
2120,0.127
2130,0.135
2140,0.133
2150,0.134
2160,0.134
2170,0.13
2180,0.135
2190,0.135
2200,0.152
2210,0.132
2220,0.14
2230,0.139
2240,0.138
2250,0.14
2260,0.135
2270,0.144
2280,0.141
2290,0.142
2300,0.142
2310,0.143
2320,0.151
2330,0.147
2340,0.149
2350,0.146
2360,0.141
2370,0.147
2380,0.148
2390,0.142
2400,0.149
2410,0.154
2420,0.149
2430,0.145
2440,0.151
2450,0.152
2460,0.152
2470,0.158
2480,0.148
2490,0.154
2500,0.154
2510,0.155
2520,0.151
2530,0.159
2540,0.157
2550,0.158
2560,0.157
2570,0.154
2580,0.16
2590,0.208
2600,0.175
2610,0.161
2620,0.169
2630,0.163
2640,0.162
2650,0.163
2660,0.159
2670,0.164
2680,0.17
2690,0.165
2700,0.167
2710,0.166
2720,0.168
2730,0.168
2740,0.171
2750,0.169
2760,0.17
2770,0.17
2780,0.171
2790,0.172
2800,0.175
2810,0.172
2820,0.174
2830,0.173
2840,0.175
2850,0.178
2860,0.175
2870,0.176
2880,0.177
2890,0.178
2900,0.179
2910,0.189
2920,0.181
2930,0.181
2940,0.18
2950,0.181
2960,0.187
2970,0.182
2980,0.183
2990,0.183
3000,0.184
3010,0.191
3020,0.185
3030,0.186
3040,0.186
3050,0.192
3060,0.187
3070,0.199
3080,0.191
3090,0.189
3100,0.191
3110,0.19
3120,0.195
3130,0.192
3140,0.192
3150,0.193
3160,0.198
3170,0.197
3180,0.195
3190,0.196
3200,0.196
3210,0.196
3220,0.2
3230,0.198
3240,0.202
3250,0.2
3260,0.199
3270,0.203
3280,0.201
3290,0.201
3300,0.202
3310,0.211
3320,0.204
3330,0.203
3340,0.204
3350,0.204
3360,0.213
3370,0.206
3380,0.207
3390,0.208
3400,0.207
3410,0.231
3420,0.216
3430,0.211
3440,0.21
3450,0.215
3460,0.215
3470,0.213
3480,0.212
3490,0.214
3500,0.221
3510,0.215
3520,0.215
3530,0.217
3540,0.227
3550,0.217
3560,0.218
3570,0.222
3580,0.219
3590,0.222
3600,0.22
3610,0.225
3620,0.221
3630,0.224
3640,0.226
3650,0.223
3660,0.223
3670,0.231
3680,0.224
3690,0.225
3700,0.23
3710,0.226
3720,0.231
3730,0.234
3740,0.228
3750,0.228
3760,0.244
3770,0.23
3780,0.23
3790,0.235
3800,0.237
3810,0.233
3820,0.237
3830,0.233
3840,0.239
3850,0.24
3860,0.235
3870,0.24
3880,0.24
3890,0.237
3900,0.242
3910,0.238
3920,0.247
3930,0.239
3940,0.241
3950,0.245
3960,0.246
3970,0.246
3980,0.242
3990,0.242
4000,0.252
4010,0.245
4020,0.249
4030,0.245
4040,0.254
4050,0.247
4060,0.252
4070,0.248
4080,0.31
4090,0.308
4100,0.256
4110,0.251
4120,0.261
4130,0.251
4140,0.257
4150,0.253
4160,0.257
4170,0.254
4180,0.259
4190,0.259
4200,0.26
4210,0.257
4220,0.262
4230,0.26
4240,0.263
4250,0.26
4260,0.263
4270,0.263
4280,0.265
4290,0.261
4300,0.266
4310,0.273
4320,0.263
4330,0.269
4340,0.276
4350,0.269
4360,0.265
4370,0.271
4380,0.269
4390,0.271
4400,0.283
4410,0.273
4420,0.274
4430,0.27
4440,0.275
