Term Amount,Peak Memory (b)
0,16
10,984
20,1976
30,2936
40,3864
50,4872
60,5816
70,6792
80,7736
90,8792
100,9688
110,10592
120,11584
130,12616
140,13656
150,14672
160,15496
170,16448
180,17600
190,18448
200,19464
210,20240
220,21192
230,22352
240,23128
250,24304
260,25248
270,26024
280,27184
290,28104
300,29096
310,29968
320,31176
330,31952
340,33096
350,33920
360,35216
370,35992
380,36720
390,37664
400,38368
410,39704
420,40408
430,41280
440,42584
450,43336
460,44184
470,45464
480,46336
490,47040
500,47888
510,49456
520,50160
530,50816
540,51712
550,53016
560,54176
570,54448
580,56160
590,57128
600,57784
610,58464
620,60144
630,60824
640,61816
650,62472
660,62936
670,64752
680,65480
690,66424
700,67272
710,68864
720,69856
730,70752
740,71552
750,71848
760,72768
770,74688
780,75512
790,76288
800,76944
810,77864
820,78544
830,80496
840,81176
850,82240
860,82920
870,83312
880,84352
890,86064
900,87176
910,87856
920,88464
930,89384
940,90280
950,90912
960,93032
970,93760
980,94560
990,95576
1000,96136
1010,96744
1020,97760
1030,98296
1040,100304
1050,101176
1060,102000
1070,102752
1080,103576
1090,104256
1100,105056
1110,107464
1120,107928
1130,108896
1140,109696
1150,110904
1160,111128
1170,112408
1180,112800
1190,113624
1200,115960
1210,116616
1220,117560
1230,118264
1240,119304
1250,119528
1260,120856
1270,121584
1280,122480
1290,124400
1300,124720
1310,125904
1320,126920
1330,128032
1340,128928
1350,129296
1360,129760
1370,130704
1380,131408
1390,133824
1400,134936
1410,135568
1420,136488
1430,137144
1440,137896
1450,138552
1460,138992
1470,139696
1480,140928
1490,142184
1500,144320
1510,145360
1520,146040
1530,146864
1540,147088
1550,148032
1560,149432
1570,149896
1580,150432
1590,151184
1600,151432
1610,152712
1620,155720
1630,156784
1640,157032
1650,157808
1660,158872
1670,159360
1680,160424
1690,161008
1700,161376
1710,162104
1720,163360
1730,164304
1740,164768
1750,167920
1760,168552
1770,169304
1780,170440
1790,171096
1800,171704
1810,172288
1820,173400
1830,173792
1840,174424
1850,175488
1860,176072
1870,177088
1880,180176
1890,181264
1900,181920
1910,182048
1920,182584
1930,184200
1940,184376
1950,185416
1960,186576
1970,186968
1980,187576
1990,187944
2000,189008
2010,189808
2020,190632
2030,193928
2040,195304
2050,195936
2060,196616
2070,197248
2080,197928
2090,198704
2100,199336
2110,199872
2120,200840
2130,201376
2140,202944
2150,202904
2160,204784
2170,204192
2180,208088
2190,209728
2200,209688
2210,210896
2220,211456
2230,211608
2240,212384
2250,213688
2260,214608
2270,214904
2280,215608
2290,216576
2300,217496
2310,216928
2320,218520
2330,219032
2340,220312
2350,220632
2360,225528
2370,225944
2380,226312
2390,227112
2400,228320
2410,229288
2420,229320
2430,230480
2440,231016
2450,231600
2460,232472
2470,233416
2480,234360
2490,234416
2500,236056
2510,235464
2520,236816
2530,237640
2540,237408
2550,242816
2560,243832
2570,243576
2580,244928
2590,245704
2600,247368
2610,246800
2620,247984
2630,248088
2640,249296
2650,250120
2660,250944
2670,251912
2680,252496
2690,252264
2700,253016
2710,253576
2720,254664
2730,255776
2740,256648
2750,256584
2760,257816
2770,258664
2780,258768
2790,260456
2800,260776
2810,261384
2820,261512
2830,263200
2840,264168
2850,264656
2860,265384
2870,265080
2880,266288
2890,268000
2900,268152
2910,269000
2920,269608
2930,269016
2940,270944
2950,271720
2960,271728
2970,272984
2980,276760
2990,278712
3000,279440
3010,279040
3020,280320
3030,281024
3040,282040
3050,283008
3060,283520
3070,284608
3080,284304
3090,285512
3100,287008
3110,286488
3120,287072
3130,288328
3140,288432
3150,289736
3160,290488
3170,291072
3180,291584
3190,292936
3200,294696
3210,298088
3220,299272
3230,299952
3240,301304
3250,301504
3260,301536
3270,302792
3280,303784
3290,303960
3300,305096
3310,305104
3320,305808
3330,307328
3340,307192
3350,309096
3360,308504
3370,309712
3380,310728
3390,310760
3400,311776
3410,312648
3420,312632
3430,314368
3440,314352
3450,315968
3460,315832
3470,320048
3480,321760
3490,322584
3500,323288
3510,324280
3520,324624
3530,324920
3540,325000
3550,326712
3560,327320
3570,328360
3580,328896
3590,330056
3600,329752
3610,330504
3620,331592
3630,331792
3640,333720
3650,333704
3660,335536
3670,336360
3680,336872
3690,336520
3700,336912
3710,337640
3720,338944
3730,337992
3740,345704
3750,346360
3760,348144
3770,347096
3780,349048
3790,348480
3800,349232
3810,351112
3820,351216
3830,350816
3840,352480
3850,353232
3860,353240
3870,355744
3880,355608
3890,356048
3900,356776
3910,356496
3920,357488
3930,358336
3940,359664
3950,360152
3960,360160
3970,360624
3980,362792
3990,362272
4000,363000
4010,363992
4020,364480
4030,371520
4040,370976
4050,373384
4060,372600
4070,373832
4080,375736
4090,375096
4100,374528
4110,376312
4120,377784
4130,377240
4140,378880
4150,379440
4160,379040
4170,380560
4180,379656
4190,382064
4200,381856
4210,382584
4220,384440
4230,384304
4240,385056
4250,386456
4260,386896
4270,386976
4280,388832
4290,389656
4300,389328
4310,390920
4320,390832
4330,391944
4340,390704
4350,398104
4360,399720
4370,400088
4380,400264
4390,401496
4400,402128
4410,402064
4420,403608
4430,404840
4440,404656
4450,405144
4460,406328
4470,405976
4480,407472
4490,408080
4500,409120
4510,409752
4520,410096
4530,410344
4540,411336
4550,412904
4560,413248
4570,412632
4580,414848
4590,414088
4600,415848
4610,416624
4620,417352
4630,417720
4640,418520
4650,419176
4660,419256
4670,421472
4680,421336
4690,420840
4700,421688
4710,430880
4720,431272
4730,432000
4740,431480
4750,432040
4760,433776
4770,432848
4780,435376
4790,434952
4800,435464
4810,435952
4820,436728
4830,438752
4840,438160
4850,439440
4860,440336
4870,440296
4880,440640
4890,441968
4900,441952
4910,443520
4920,442496
4930,444160
4940,444912
4950,445184
4960,444952
4970,445776
4980,447488
4990,447424
