Term Amount,Time (ms)
0,0.004
0,0.001
0,0.001
0,0
0,0.001
10,0.01
10,0.014
10,0.003
10,0.003
10,0.003
20,0.006
20,0.006
20,0.006
20,0.006
20,0.006
30,0.009
30,0.008
30,0.007
30,0.007
30,0.007
40,0.01
40,0.01
40,0.01
40,0.01
40,0.01
50,0.014
50,0.021
50,0.011
50,0.012
50,0.011
60,0.015
60,0.014
60,0.014
60,0.027
60,0.014
70,0.018
70,0.017
70,0.017
70,0.017
70,0.017
80,0.021
80,0.019
80,0.019
80,0.02
80,0.019
90,0.023
90,0.022
90,0.021
90,0.021
90,0.028
100,0.037
100,0.023
100,0.023
100,0.023
100,0.023
110,0.027
110,0.027
110,0.026
110,0.031
110,0.029
120,0.032
120,0.06
120,0.037
120,0.029
120,0.029
130,0.032
130,0.03
130,0.03
130,0.03
130,0.03
140,0.033
140,0.032
140,0.039
140,0.032
140,0.033
150,0.046
150,0.036
150,0.036
150,0.035
150,0.036
160,0.038
160,0.038
160,0.044
160,0.038
160,0.037
170,0.041
170,0.048
170,0.041
170,0.04
170,0.04
180,0.043
180,0.049
180,0.042
180,0.041
180,0.042
190,0.045
190,0.045
190,0.057
190,0.051
190,0.045
200,0.052
200,0.048
200,0.048
200,0.048
200,0.048
210,0.056
210,0.058
210,0.05
210,0.049
210,0.049
220,0.061
220,0.062
220,0.051
220,0.051
220,0.05
230,0.071
230,0.062
230,0.055
230,0.054
230,0.054
240,0.058
240,0.058
240,0.062
240,0.066
240,0.057
250,0.06
250,0.06
250,0.064
250,0.059
250,0.059
260,0.065
260,0.061
260,0.061
260,0.067
260,0.06
270,0.065
270,0.064
270,0.064
270,0.075
270,0.068
280,0.067
280,0.066
280,0.066
280,0.072
280,0.066
290,0.07
290,0.069
290,0.069
290,0.074
290,0.069
300,0.07
300,0.07
300,0.074
300,0.075
300,0.069
310,0.077
310,0.073
310,0.072
310,0.078
310,0.072
320,0.081
320,0.076
320,0.075
320,0.081
320,0.081
330,0.078
330,0.077
330,0.077
330,0.082
330,0.077
340,0.079
340,0.079
340,0.085
340,0.079
340,0.078
350,0.082
350,0.182
350,0.083
350,0.082
350,0.082
360,0.096
360,0.085
360,0.084
360,0.083
360,0.084
370,0.091
370,0.092
370,0.085
370,0.085
370,0.09
380,0.088
380,0.088
380,0.087
380,0.092
380,0.087
390,0.092
390,0.092
390,0.104
390,0.09
390,0.091
400,0.101
400,0.094
400,0.094
400,0.094
400,0.098
410,0.096
410,0.095
410,0.1
410,0.1
410,0.095
420,0.098
420,0.104
420,0.103
420,0.098
420,0.098
430,0.113
430,0.105
430,0.099
430,0.098
430,0.104
440,0.109
440,0.101
440,0.107
440,0.101
440,0.101
450,0.115
450,0.104
450,0.103
450,0.103
450,0.109
460,0.107
460,0.107
460,0.113
460,0.103
460,0.11
470,0.107
470,0.112
470,0.103
470,0.102
470,0.101
480,0.113
480,0.106
480,0.108
480,0.113
480,0.107
490,0.111
490,0.116
490,0.108
490,0.106
490,0.106
500,0.11
500,0.115
500,0.118
500,0.112
500,0.112
510,0.122
510,0.116
510,0.112
510,0.117
510,0.122
520,0.124
520,0.114
520,0.119
520,0.124
520,0.117
530,0.119
530,0.123
530,0.129
530,0.129
530,0.118
540,0.131
540,0.124
540,0.122
540,0.118
540,0.129
550,0.134
550,0.13
550,0.12
550,0.132
550,0.125
560,0.129
560,0.13
560,0.129
560,0.139
560,0.128
570,0.131
570,0.128
570,0.128
570,0.133
570,0.124
580,0.132
580,0.138
580,0.135
580,0.127
580,0.13
590,0.135
590,0.187
590,0.175
590,0.173
590,0.181
600,0.145
600,0.154
600,0.138
600,0.166
600,0.135
610,0.137
610,0.204
610,0.256
610,0.313
610,0.257
620,0.273
620,0.267
620,0.174
620,0.165
620,0.2
630,0.285
630,0.218
630,0.303
630,0.223
630,0.204
640,0.262
640,0.185
640,0.271
640,0.29
640,0.25
650,0.218
650,0.222
650,0.215
650,0.339
650,0.387
660,0.366
660,0.34
660,0.327
660,0.257
660,0.269
670,0.238
670,0.339
670,0.264
670,0.367
670,0.268
680,0.229
680,0.182
680,0.211
680,0.154
680,0.153
690,0.187
690,0.177
690,0.155
690,0.164
690,0.151
700,0.169
700,0.175
700,0.387
700,0.278
700,0.252
710,0.328
710,0.257
710,0.3
710,0.276
710,0.256
720,0.173
720,0.214
720,0.164
720,0.182
720,0.169
730,0.166
730,0.161
730,0.241
730,0.169
730,0.161
740,0.183
740,0.168
740,0.162
740,0.173
740,0.167
750,0.172
750,0.172
750,0.168
750,0.17
750,0.166
760,0.173
760,0.181
760,0.17
760,0.171
760,0.174
770,0.174
770,0.174
770,0.18
770,0.171
770,0.172
780,0.177
780,0.173
780,0.284
780,0.274
780,0.283
790,0.188
790,0.175
790,0.182
790,0.175
790,0.169
800,0.183
800,0.172
800,0.175
800,0.176
800,0.173
810,0.177
810,0.188
810,0.176
810,0.18
810,0.182
820,0.18
820,0.182
820,0.181
820,0.176
820,0.188
830,0.267
830,0.187
830,0.191
830,0.237
830,0.182
840,0.197
840,0.254
840,0.338
840,0.32
840,0.313
850,0.324
850,0.338
850,0.328
850,0.337
850,0.207
860,0.203
860,0.202
860,0.194
860,0.196
860,0.191
870,0.2
870,0.202
870,0.203
870,0.197
870,0.19
880,0.206
880,0.407
880,0.382
880,0.36
880,0.31
890,0.32
890,0.43
890,0.37
890,0.322
890,0.312
900,0.202
900,0.216
900,0.207
900,0.202
900,0.201
910,0.203
910,0.202
910,0.203
910,0.202
910,0.208
920,0.214
920,0.335
920,0.338
920,0.2
920,0.211
930,0.206
930,0.209
930,0.205
930,0.211
930,0.199
940,0.216
940,0.208
940,0.203
940,0.212
940,0.207
950,0.211
950,0.206
950,0.213
950,0.202
950,0.206
960,0.236
960,0.242
960,0.207
960,0.213
960,0.201
970,0.2
970,0.197
970,0.205
970,0.199
970,0.2
980,0.201
980,0.206
980,0.2
980,0.198
980,0.201
990,0.204
990,0.211
990,0.234
990,0.271
990,0.379
1000,0.383
1000,0.365
1000,0.356
1000,0.354
1000,0.374
1010,0.362
1010,0.361
1010,0.357
1010,0.358
1010,0.36
1020,0.364
1020,0.374
1020,0.365
1020,0.364
1020,0.365
1030,0.367
1030,0.367
1030,0.368
1030,0.365
1030,0.364
1040,0.375
1040,0.264
1040,0.22
1040,0.225
1040,0.227
1050,0.223
1050,0.249
1050,0.217
1050,0.228
1050,0.216
1060,0.22
1060,0.219
1060,0.242
1060,0.219
1060,0.219
1070,0.225
1070,0.233
1070,0.224
1070,0.224
1070,0.224
1080,0.227
1080,0.236
1080,0.321
1080,0.235
1080,0.231
1090,0.252
1090,0.229
1090,0.228
1090,0.236
1090,0.227
1100,0.231
1100,0.245
1100,0.237
1100,0.233
1100,0.228
1110,0.31
1110,0.349
1110,0.365
1110,0.276
1110,0.25
1120,0.352
1120,0.396
1120,0.373
1120,0.403
1120,0.32
