Term Amount,Peak Memory (b)
0,16
10,1304
20,2616
30,3896
40,5144
50,6472
60,7736
70,9032
80,10296
90,11672
100,12888
110,14080
120,15328
130,16776
140,18072
150,19440
160,20616
170,21856
180,23264
190,24496
200,25800
210,26864
220,28040
230,29616
240,30680
250,32272
260,33344
270,34408
280,35920
290,37320
300,38440
310,39728
320,41288
330,42352
340,43720
350,44896
360,46512
370,47576
380,48528
390,49984
400,50880
410,52568
420,53464
430,54752
440,56344
450,57352
460,58584
470,59992
480,61280
490,62176
500,63408
510,65488
520,66384
530,67168
540,68512
550,69912
560,71872
570,71760
580,73984
590,75496
600,76280
610,77120
620,79312
630,80152
640,81720
650,82504
660,82840
670,85136
680,86088
690,87544
700,88776
710,90464
720,92032
730,93376
740,94496
750,94440
760,95840
770,98208
780,99384
790,100448
800,101232
810,102632
820,103472
830,105808
840,106648
850,108384
860,109224
870,109392
880,111072
890,112720
900,114568
910,115408
920,116080
930,117480
940,118824
950,119552
960,122152
970,123104
980,124224
990,125848
1000,126408
1010,127080
1020,128704
1030,129208
1040,131248
1050,132536
1060,133712
1070,134720
1080,135896
1090,136736
1100,137856
1110,140680
1120,141016
1130,142528
1140,143648
1150,145720
1160,145496
1170,147736
1180,147904
1190,149080
1200,151608
1210,152392
1220,153848
1230,154744
1240,156424
1250,156200
1260,158552
1270,159504
1280,160848
1290,162256
1300,162256
1310,164272
1320,165896
1330,167744
1340,169088
1350,169200
1360,169536
1370,170992
1380,171888
1390,174240
1400,176088
1410,176816
1420,178216
1430,179000
1440,180008
1450,180792
1460,181072
1470,181968
1480,184096
1490,186280
1500,187744
1510,189424
1520,190264
1530,191440
1540,191216
1550,192672
1560,195192
1570,195528
1580,196032
1590,197040
1600,196872
1610,199112
1620,202504
1630,204240
1640,204072
1650,205136
1660,206872
1670,207264
1680,209000
1690,209616
1700,209728
1710,210680
1720,212864
1730,214320
1740,214656
1750,218192
1760,218920
1770,219928
1780,221832
1790,222616
1800,223288
1810,223904
1820,225752
1830,225920
1840,226648
1850,228384
1860,229000
1870,230624
1880,233648
1890,235440
1900,236224
1910,235776
1920,236280
1930,239304
1940,238968
1950,240648
1960,242608
1970,242776
1980,243448
1990,243560
2000,245296
2010,246416
2020,247592
2030,250760
2040,253224
2050,253952
2060,254792
2070,255520
2080,256360
2090,257424
2100,258152
2110,258656
2120,260168
2130,260672
2140,263584
2150,262744
2160,266384
2170,264256
2180,268504
2190,271584
2200,270744
2210,272816
2220,273376
2230,272984
2240,274048
2250,276344
2260,277744
2270,277688
2280,278584
2290,280096
2300,281496
2310,279424
2320,282392
2330,282840
2340,285080
2350,285080
2360,291320
2370,291544
2380,291656
2390,292776
2400,294848
2410,296360
2420,295688
2430,297648
2440,298152
2450,298768
2460,300056
2470,301512
2480,302968
2490,302352
2500,305432
2510,303304
2520,305712
2530,306888
2540,305600
2550,312672
2560,314296
2570,312952
2580,315360
2590,316424
2600,319560
2610,317488
2620,319504
2630,319000
2640,321072
2650,322248
2660,323424
2670,324936
2680,325552
2690,324264
2700,325272
2710,325832
2720,327624
2730,329472
2740,330760
2750,329864
2760,331992
2770,333224
2780,332720
2790,335912
2800,335912
2810,336584
2820,336136
2830,339328
2840,340840
2850,341232
2860,342184
2870,340728
2880,342800
2890,346048
2900,345656
2910,346888
2920,347560
2930,345432
2940,349184
2950,350248
2960,349520
2970,351704
2980,354712
2990,358520
3000,359472
3010,357792
3020,360032
3030,360928
3040,362552
3050,364064
3060,364512
3070,366304
3080,364848
3090,366920
3100,369664
3110,367704
3120,368320
3130,370504
3140,370000
3150,372296
3160,373304
3170,373920
3180,374368
3190,376776
3200,380136
3210,381736
3220,383752
3230,384592
3240,387000
3250,386720
3260,386048
3270,388232
3280,389800
3290,389464
3300,391368
3310,390640
3320,391536
3330,394336
3340,393272
3350,396968
3360,394840
3370,396912
3380,398536
3390,397864
3400,399488
3410,400776
3420,399992
3430,403296
3440,402512
3450,405536
3460,404472
3470,407504
3480,410752
3490,411928
3500,412824
3510,414392
3520,414448
3530,414392
3540,413832
3550,417080
3560,417752
3570,419432
3580,419936
3590,421896
3600,420440
3610,421448
3620,423240
3630,422960
3640,426712
3650,425928
3660,429456
3670,430632
3680,431080
