Term Amount,Time (ms)
0,0.004
0,0.001
0,0
0,0
0,0
10,0.011
10,0.005
10,0.004
10,0.004
10,0.004
20,0.01
20,0.008
20,0.008
20,0.008
20,0.008
30,0.02
30,0.01
30,0.01
30,0.01
30,0.009
40,0.015
40,0.013
40,0.013
40,0.014
40,0.014
50,0.018
50,0.017
50,0.016
50,0.016
50,0.016
60,0.021
60,0.02
60,0.019
60,0.02
60,0.019
70,0.033
70,0.024
70,0.024
70,0.024
70,0.024
80,0.029
80,0.028
80,0.027
80,0.027
80,0.027
90,0.038
90,0.03
90,0.03
90,0.03
90,0.03
100,0.035
100,0.033
100,0.032
100,0.032
100,0.038
110,0.04
110,0.036
110,0.036
110,0.037
110,0.045
120,0.046
120,0.044
120,0.044
120,0.044
120,0.043
130,0.052
130,0.055
130,0.047
130,0.046
130,0.046
140,0.055
140,0.047
140,0.046
140,0.059
140,0.045
150,0.053
150,0.049
150,0.048
150,0.049
150,0.055
160,0.056
160,0.051
160,0.051
160,0.051
160,0.051
170,0.065
170,0.056
170,0.056
170,0.056
170,0.056
180,0.071
180,0.059
180,0.059
180,0.058
180,0.058
190,0.071
190,0.062
190,0.062
190,0.061
190,0.063
200,0.077
200,0.066
200,0.066
200,0.066
200,0.074
210,0.089
210,0.068
210,0.068
210,0.074
210,0.069
220,0.076
220,0.071
220,0.076
220,0.071
220,0.071
230,0.081
230,0.081
230,0.082
230,0.077
230,0.075
240,0.09
240,0.079
240,0.079
240,0.085
240,0.079
250,0.089
250,0.089
250,0.081
250,0.081
250,0.081
260,0.095
260,0.084
260,0.084
260,0.09
260,0.083
270,0.094
270,0.093
270,0.087
270,0.086
270,0.09
280,0.104
280,0.092
280,0.091
280,0.097
280,0.091
290,0.106
290,0.094
290,0.094
290,0.094
290,0.104
300,0.107
300,0.096
300,0.101
300,0.096
300,0.095
310,0.114
310,0.099
310,0.1
310,0.105
310,0.1
320,0.112
320,0.111
320,0.104
320,0.104
320,0.109
330,0.114
330,0.106
330,0.115
330,0.107
330,0.106
340,0.121
340,0.109
340,0.115
340,0.108
340,0.109
350,0.126
350,0.133
350,0.119
350,0.112
350,0.113
360,0.13
360,0.116
360,0.115
360,0.121
360,0.118
370,0.132
370,0.118
370,0.117
370,0.123
370,0.117
380,0.134
380,0.121
380,0.125
380,0.126
380,0.121
390,0.135
390,0.132
390,0.128
390,0.138
390,0.133
400,0.146
400,0.131
400,0.129
400,0.135
400,0.129
410,0.153
410,0.14
410,0.143
410,0.136
410,0.141
420,0.149
420,0.145
420,0.14
420,0.148
420,0.139
430,0.159
430,0.143
430,0.148
430,0.143
430,0.139
440,0.179
440,0.154
440,0.146
440,0.146
440,0.152
450,0.163
450,0.153
450,0.148
450,0.153
450,0.145
460,0.162
460,0.145
460,0.148
460,0.15
460,0.144
470,0.162
470,0.153
470,0.158
470,0.169
470,0.153
480,0.174
480,0.158
480,0.165
480,0.158
480,0.168
490,0.175
490,0.16
490,0.16
490,0.166
490,0.16
500,0.183
500,0.17
500,0.163
500,0.168
500,0.163
510,0.185
510,0.172
510,0.174
510,0.169
510,0.172
520,0.191
520,0.173
520,0.164
520,0.177
520,0.17
530,0.19
530,0.164
530,0.172
530,0.163
530,0.163
540,0.182
540,0.165
540,0.163
540,0.18
540,0.17
550,0.181
550,0.174
550,0.168
550,0.171
550,0.167
560,0.19
560,0.174
560,0.173
560,0.179
560,0.177
570,0.184
570,0.188
570,0.193
570,0.183
570,0.194
580,0.198
580,0.189
580,0.188
580,0.199
580,0.194
590,0.201
590,0.181
590,0.188
590,0.182
590,0.193
600,0.198
600,0.19
600,0.183
600,0.19
600,0.187
610,0.203
610,0.186
610,0.185
610,0.192
610,0.227
620,0.214
620,0.191
620,0.205
620,0.19
620,0.196
630,0.217
630,0.21
630,0.211
630,0.191
630,0.191
640,0.217
640,0.203
640,0.204
640,0.197
640,0.197
650,0.229
650,0.211
650,0.201
650,0.2
650,0.206
660,0.215
660,0.213
660,0.201
660,0.2
660,0.207
670,0.218
670,0.218
670,0.203
670,0.209
670,0.204
680,0.232
680,0.207
680,0.213
680,0.206
680,0.206
690,0.247
690,0.225
690,0.219
690,0.224
690,0.237
700,0.24
700,0.22
700,0.212
700,0.223
700,0.222
710,0.243
710,0.233
710,0.226
710,0.234
710,0.231
720,0.242
720,0.226
720,0.222
720,0.224
720,0.219
730,0.244
730,0.231
730,0.242
730,0.233
730,0.241
740,0.265
740,0.249
740,0.238
740,0.246
740,0.239
750,0.25
750,0.238
750,0.227
750,0.298
750,0.411
760,0.408
760,0.431
760,0.411
760,0.397
760,0.385
770,0.406
770,0.399
770,0.395
770,0.402
770,0.388
780,0.457
780,0.42
780,0.394
780,0.38
780,0.421
790,0.433
790,0.396
790,0.396
790,0.393
790,0.397
800,0.424
800,0.407
800,0.414
800,0.403
800,0.393
810,0.439
810,0.419
810,0.425
810,0.415
810,0.412
820,0.422
820,0.314
820,0.276
820,0.275
820,0.267
830,0.293
830,0.267
830,0.284
830,0.268
830,0.289
840,0.288
840,0.265
840,0.259
840,0.275
840,0.274
850,0.293
850,0.266
850,0.277
850,0.273
850,0.259
860,0.291
860,0.27
860,0.275
860,0.281
860,0.279
870,0.292
870,0.273
870,0.279
870,0.269
870,0.264
880,0.292
880,0.276
880,0.268
880,0.284
880,0.308
890,0.307
890,0.288
890,0.285
890,0.286
890,0.29
900,0.313
900,0.296
900,0.295
900,0.285
900,0.295
910,0.31
910,0.285
910,0.292
910,0.293
910,0.296
920,0.318
920,0.296
920,0.299
920,0.292
920,0.3
930,0.317
930,0.303
930,0.302
930,0.298
930,0.285
940,0.325
940,0.306
940,0.301
940,0.351
940,0.312
950,0.325
950,0.292
950,0.302
950,0.301
950,0.306
960,0.33
960,0.301
960,0.299
960,0.31
960,0.307
970,0.334
970,0.303
970,0.301
970,0.312
970,0.303
980,0.334
980,0.319
980,0.313
980,0.316
980,0.308
990,0.346
990,0.322
990,0.318
990,0.318
990,0.316
1000,0.344
1000,0.32
1000,0.323
1000,0.322
1000,0.313
1010,0.34
1010,0.32
1010,0.326
1010,0.323
1010,0.327
1020,0.349
1020,0.33
1020,0.329
1020,0.332
1020,0.328
1030,0.359
1030,0.331
1030,0.321
1030,0.32
1030,0.333
1040,0.357
1040,0.389
1040,0.336
1040,0.339
1040,0.333
1050,0.366
1050,0.33
1050,0.332
1050,0.332
1050,0.333
1060,0.359
1060,0.338
1060,0.34
1060,0.332
1060,0.337
1070,0.385
1070,0.349
1070,0.338
1070,0.346
1070,0.344
1080,0.374
1080,0.353
1080,0.341
1080,0.351
1080,0.347
1090,0.381
1090,0.354
1090,0.354
1090,0.354
1090,0.352
1100,0.375
1100,0.351
1100,0.357
1100,0.351
1100,0.35
1110,0.369
1110,0.368
1110,0.374
1110,0.35
1110,0.347
1120,0.405
1120,0.354
1120,0.348
1120,0.378
1120,0.368
1130,0.426
