Term Amount,Add Array Memory,Add Array Time,Add List Memory,Add List Time,Generate Array Memory,Generate Array Time,Generate List Memory,Generate List Time,Multiply Array Memory,Multiply Array Time,Multiply List Memory,Multiply List Time,Process Array Memory,Process Array Time,Process List Memory,Process List Time
Term Amount,Array,Array,List,List,Array,Array,List,List,Array,Array,List,List,Array,Array,List,List
0,16,0.004,16,0.004,0,0.001,0,0.001,16,0.004,16,0.004,0,0,0,0.001
0,16,0.001,16,0.001,0,0.001,0,0,16,0.001,16,0.001,0,0,0,0
0,16,0.001,16,0,0,0.001,0,0,16,0,16,0,0,0.001,0,0
0,16,0,16,0,0,0,0,0,16,0,16,0,0,0,0,0
0,16,0.001,16,0,0,0,0,0,16,0,16,0,0,0,0,0
10,984,0.01,1304,0.011,160,0.002,320,0.003,7280,0.023,7856,0.028,0,0.001,0,0.002
10,984,0.014,1304,0.005,160,0.001,320,0.003,7280,0.017,7856,0.02,0,0,0,0.001
10,984,0.003,1304,0.004,160,0.001,320,0.002,7280,0.015,7856,0.028,0,0.001,0,0
10,984,0.003,1304,0.004,160,0.001,320,0.002,7280,0.025,7856,0.018,0,0.001,0,0.001
10,984,0.003,1304,0.004,160,0.001,320,0.002,7280,0.015,7856,0.019,0,0,0,0.001
20,1976,0.006,2616,0.01,320,0.001,640,0.005,26720,0.067,27960,0.094,0,0.001,0,0.002
20,1976,0.006,2616,0.008,320,0.001,640,0.004,26720,0.057,27960,0.075,0,0.001,0,0.001
20,1976,0.006,2616,0.008,320,0.002,640,0.004,26720,0.056,27960,0.073,0,0.001,0,0.001
20,1976,0.006,2616,0.008,320,0.001,640,0.003,26720,0.056,27960,0.073,0,0.002,0,0.001
20,1976,0.006,2616,0.008,320,0.001,640,0.003,26720,0.056,27960,0.081,0,0.001,0,0.001
30,2936,0.009,3896,0.02,480,0.002,960,0.004,45592,0.138,58712,0.175,0,0.002,0,0.002
