Term Amount,Time (ms)
0,0.001
0,0.001
0,0.001
0,0
0,0
10,0.002
10,0.001
10,0.001
10,0.001
10,0.001
20,0.001
20,0.001
20,0.002
20,0.001
20,0.001
30,0.002
30,0.001
30,0.001
30,0.001
30,0.001
40,0.003
40,0.002
40,0.002
40,0.002
40,0.002
50,0.002
50,0.002
50,0.002
50,0.002
50,0.002
60,0.003
60,0.003
60,0.003
60,0.002
60,0.003
70,0.003
70,0.003
70,0.003
70,0.003
70,0.003
80,0.003
80,0.003
80,0.003
80,0.003
80,0.004
90,0.004
90,0.004
90,0.003
90,0.004
90,0.004
100,0.004
100,0.004
100,0.005
100,0.004
100,0.005
110,0.005
110,0.005
110,0.005
110,0.006
110,0.004
120,0.004
120,0.005
120,0.004
120,0.005
120,0.004
130,0.005
130,0.004
130,0.005
130,0.005
130,0.005
140,0.005
140,0.005
140,0.005
140,0.005
140,0.005
150,0.006
150,0.005
150,0.006
150,0.005
150,0.006
160,0.006
160,0.006
160,0.005
160,0.006
160,0.006
170,0.006
170,0.006
170,0.007
170,0.006
170,0.006
180,0.006
180,0.007
180,0.006
180,0.007
180,0.006
190,0.007
190,0.007
190,0.007
190,0.007
190,0.006
200,0.008
200,0.007
200,0.007
200,0.012
200,0.007
210,0.008
210,0.007
210,0.008
210,0.007
210,0.008
220,0.008
220,0.007
220,0.008
220,0.008
220,0.008
230,0.008
230,0.008
230,0.009
230,0.009
230,0.008
240,0.008
240,0.009
240,0.009
240,0.009
240,0.009
250,0.008
250,0.009
250,0.009
250,0.009
250,0.008
260,0.01
260,0.009
260,0.009
260,0.009
260,0.009
270,0.01
270,0.01
270,0.009
270,0.01
270,0.009
280,0.01
280,0.01
280,0.01
280,0.01
280,0.01
290,0.01
290,0.01
290,0.01
290,0.011
290,0.01
300,0.011
300,0.01
300,0.011
300,0.01
300,0.011
310,0.011
310,0.011
310,0.011
310,0.011
310,0.011
320,0.011
320,0.011
320,0.011
320,0.012
320,0.011
330,0.011
330,0.011
330,0.012
330,0.011
330,0.012
340,0.012
340,0.011
340,0.012
340,0.012
340,0.012
350,0.012
350,0.016
350,0.012
350,0.013
350,0.013
360,0.012
360,0.013
360,0.013
360,0.013
360,0.012
370,0.014
370,0.013
370,0.013
370,0.012
370,0.013
380,0.014
380,0.013
380,0.013
380,0.013
380,0.013
390,0.018
390,0.014
390,0.013
390,0.014
390,0.013
400,0.014
400,0.014
400,0.014
400,0.014
400,0.013
410,0.015
410,0.014
410,0.014
410,0.014
410,0.015
420,0.016
420,0.015
420,0.014
420,0.015
420,0.014
430,0.015
430,0.014
430,0.015
430,0.015
430,0.015
440,0.016
440,0.015
440,0.015
440,0.016
440,0.015
450,0.016
450,0.015
450,0.016
450,0.015
450,0.016
460,0.016
460,0.023
460,0.024
460,0.021
460,0.022
470,0.022
470,0.02
470,0.021
470,0.017
470,0.016
480,0.017
480,0.023
480,0.024
480,0.025
480,0.022
490,0.022
490,0.022
490,0.022
490,0.024
490,0.022
500,0.026
500,0.026
500,0.023
500,0.023
500,0.023
510,0.024
510,0.026
510,0.023
510,0.023
510,0.027
520,0.018
520,0.018
520,0.018
520,0.028
520,0.018
530,0.018
530,0.018
530,0.018
530,0.019
530,0.018
540,0.019
540,0.019
540,0.018
540,0.019
540,0.025
550,0.026
550,0.024
550,0.027
550,0.028
550,0.026
560,0.027
560,0.026
560,0.03
560,0.029
560,0.029
570,0.02
570,0.019
570,0.019
570,0.019
570,0.02
580,0.034
580,0.03
580,0.03
580,0.03
580,0.031
590,0.034
590,0.048
590,0.047
590,0.031
590,0.031
600,0.031
600,0.031
600,0.031
600,0.031
600,0.059
610,0.035
610,0.032
610,0.032
610,0.032
610,0.032
620,0.041
620,0.047
620,0.033
620,0.033
620,0.033
630,0.034
630,0.034
630,0.064
630,0.036
630,0.033
640,0.033
640,0.034
640,0.034
640,0.05
640,0.04
650,0.034
650,0.035
650,0.034
650,0.034
650,0.044
660,0.038
660,0.035
660,0.035
660,0.034
660,0.035
670,0.052
670,0.041
670,0.035
670,0.035
670,0.041
680,0.037
680,0.051
680,0.042
680,0.036
680,0.036
690,0.037
690,0.036
690,0.039
690,0.039
690,0.036
700,0.038
700,0.037
700,0.037
700,0.063
700,0.037
710,0.038
710,0.037
710,0.049
710,0.047
710,0.028
720,0.025
720,0.024
720,0.024
720,0.024
720,0.031
730,0.025
730,0.025
730,0.025
730,0.025
730,0.034
740,0.083
740,0.037
740,0.036
740,0.034
740,0.034
750,0.034
750,0.035
750,0.044
750,0.033
750,0.036
760,0.034
760,0.034
760,0.035
760,0.036
760,0.037
770,0.036
770,0.039
770,0.038
770,0.035
770,0.035
780,0.036
780,0.035
780,0.036
780,0.036
780,0.036
790,0.039
790,0.038
790,0.039
790,0.04
790,0.088
800,0.046
800,0.045
800,0.041
800,0.042
800,0.058
810,0.044
810,0.062
810,0.034
810,0.05
810,0.09
820,0.034
820,0.052
820,0.083
820,0.04
820,0.048
830,0.047
830,0.047
830,0.043
830,0.044
830,0.029
840,0.05
840,0.03
840,0.029
840,0.051
840,0.045
850,0.051
850,0.048
850,0.038
850,0.054
850,0.044
860,0.044
860,0.044
860,0.047
860,0.041
860,0.055
870,0.062
870,0.037
870,0.052
870,0.03
870,0.058
880,0.078
880,0.036
880,0.05
880,0.056
880,0.064
890,0.046
890,0.064
890,0.049
890,0.055
890,0.099
900,0.157
900,0.047
900,0.046
900,0.046
900,0.047
910,0.054
910,0.058
910,0.048
910,0.047
910,0.059
920,0.05
920,0.047
920,0.109
920,0.093
920,0.05
930,0.056
930,0.049
930,0.049
930,0.035
930,0.053
940,0.057
940,0.053
940,0.061
940,0.073
940,0.041
950,0.077
950,0.068
950,0.084
950,0.054
950,0.11
960,0.046
960,0.091
960,0.061
960,0.043
960,0.044
970,0.064
970,0.053
970,0.055
970,0.055
970,0.059
980,0.047
980,0.047
980,0.041
980,0.047
980,0.052
990,0.057
990,0.056
990,0.053
990,0.061
990,0.05
1000,0.055
1000,0.04
1000,0.057
1000,0.034
1000,0.04
1010,0.056
1010,0.035
1010,0.045
1010,0.043
1010,0.048
1020,0.04
1020,0.057
1020,0.05
1020,0.048
1020,0.052
1030,0.05
1030,0.077
1030,0.041
1030,0.035
1030,0.037
1040,0.057
1040,0.036
1040,0.041
1040,0.055
1040,0.05
1050,0.065
1050,0.068
1050,0.037
1050,0.044
1050,0.077
1060,0.086
1060,0.057
1060,0.041
1060,0.036
1060,0.042
1070,0.076
1070,0.093
1070,0.098
1070,0.057
1070,0.057
1080,0.056
1080,0.083
1080,0.057
1080,0.056
1080,0.057
1090,0.079
1090,0.057
1090,0.057
1090,0.065
1090,0.075
1100,0.059
1100,0.058
1100,0.063
1100,0.061
1100,0.058
1110,0.058
1110,0.079
1110,0.058
1110,0.057
1110,0.058
1120,0.084
1120,0.059
1120,0.062
1120,0.078
1120,0.061
1130,0.06
1130,0.059
1130,0.095
1130,0.059
1130,0.059
1140,0.074
1140,0.063
1140,0.06
1140,0.063
1140,0.086
1150,0.064
1150,0.061
1150,0.079
1150,0.062
1150,0.06
1160,0.061
1160,0.088
1160,0.06
1160,0.061
1160,0.08
1170,0.065
1170,0.062
1170,0.061
1170,0.086
1170,0.062
1180,0.061
1180,0.086
1180,0.062
1180,0.062
1180,0.07
1190,0.043
1190,0.041
1190,0.041
1190,0.04
1190,0.041
1200,0.041
1200,0.055
1200,0.077
1200,0.106
1200,0.079
1210,0.042
1210,0.041
1210,0.041
1210,0.048
1210,0.042
1220,0.042
1220,0.042
1220,0.041
1220,0.041
1220,0.041
1230,0.042
1230,0.042
1230,0.042
1230,0.042
1230,0.042
1240,0.042
1240,0.041
1240,0.047
1240,0.044
1240,0.042
1250,0.043
1250,0.043
1250,0.042
1250,0.042
1250,0.044
1260,0.043
1260,0.043
1260,0.043
1260,0.043
