Term Amount,Time (ms)
0,0.001
0,0
0,0
0,0
0,0
10,0.003
10,0.003
10,0.002
10,0.002
10,0.002
20,0.005
20,0.004
20,0.004
20,0.003
20,0.003
30,0.004
30,0.004
30,0.004
30,0.004
30,0.004
40,0.005
40,0.005
40,0.005
40,0.006
40,0.005
50,0.006
50,0.007
50,0.006
50,0.006
50,0.006
60,0.007
60,0.008
60,0.007
60,0.008
60,0.007
70,0.01
70,0.01
70,0.01
70,0.009
70,0.009
80,0.011
80,0.011
80,0.011
80,0.011
80,0.021
90,0.012
90,0.011
90,0.011
90,0.011
90,0.011
100,0.012
100,0.012
100,0.013
100,0.012
100,0.012
110,0.019
110,0.014
110,0.014
110,0.014
110,0.017
120,0.016
120,0.015
120,0.015
120,0.015
120,0.015
130,0.016
130,0.016
130,0.017
130,0.016
130,0.016
140,0.018
140,0.017
140,0.026
140,0.025
140,0.018
150,0.019
150,0.019
150,0.019
150,0.019
150,0.019
160,0.02
160,0.021
160,0.02
160,0.02
160,0.02
170,0.021
170,0.021
170,0.029
170,0.021
170,0.021
180,0.022
180,0.022
180,0.021
180,0.022
180,0.022
190,0.024
190,0.024
190,0.024
190,0.024
190,0.024
200,0.031
200,0.024
200,0.025
200,0.025
200,0.025
210,0.031
210,0.03
210,0.025
210,0.025
210,0.025
220,0.033
220,0.026
220,0.032
220,0.027
220,0.027
230,0.03
230,0.029
230,0.028
230,0.029
230,0.028
240,0.029
240,0.03
240,0.035
240,0.03
240,0.03
250,0.031
250,0.03
250,0.031
250,0.031
250,0.031
260,0.032
260,0.037
260,0.031
260,0.031
260,0.032
270,0.034
270,0.033
270,0.034
270,0.038
270,0.034
280,0.04
280,0.035
280,0.034
280,0.034
280,0.035
290,0.039
290,0.036
290,0.035
290,0.042
290,0.036
300,0.036
300,0.036
300,0.036
300,0.036
300,0.037
310,0.039
310,0.045
310,0.038
310,0.039
310,0.039
320,0.039
320,0.039
320,0.05
320,0.046
320,0.04
330,0.041
330,0.04
330,0.04
330,0.04
330,0.04
340,0.042
340,0.047
340,0.042
340,0.041
340,0.041
350,0.046
350,0.044
350,0.049
350,0.046
350,0.044
360,0.044
360,0.045
360,0.046
360,0.048
360,0.05
370,0.045
370,0.047
370,0.045
370,0.045
370,0.045
380,0.053
380,0.05
380,0.047
380,0.046
380,0.047
390,0.047
390,0.047
390,0.053
390,0.049
390,0.047
400,0.048
400,0.049
400,0.053
400,0.054
400,0.048
410,0.049
410,0.05
410,0.049
410,0.05
410,0.06
420,0.061
420,0.055
420,0.05
420,0.05
420,0.052
430,0.052
430,0.058
430,0.051
430,0.053
430,0.056
440,0.055
440,0.055
440,0.06
440,0.054
440,0.053
450,0.055
450,0.056
450,0.056
450,0.06
450,0.055
460,0.056
460,0.056
460,0.057
460,0.056
460,0.062
470,0.065
470,0.058
470,0.058
470,0.057
470,0.057
480,0.064
480,0.058
480,0.058
480,0.057
480,0.058
490,0.064
490,0.065
490,0.059
490,0.059
490,0.059
500,0.06
500,0.103
500,0.087
500,0.073
500,0.061
510,0.061
510,0.061
510,0.061
510,0.07
510,0.062
520,0.063
520,0.062
520,0.063
520,0.063
520,0.077
530,0.071
530,0.07
530,0.063
530,0.063
530,0.077
540,0.07
540,0.065
540,0.065
540,0.069
540,0.065
550,0.083
550,0.066
550,0.077
550,0.072
550,0.065
560,0.083
560,0.086
560,0.096
560,0.097
560,0.082
570,0.067
570,0.081
570,0.068
570,0.101
570,0.115
580,0.115
580,0.132
580,0.073
580,0.075
580,0.091
590,0.071
590,0.08
590,0.078
590,0.079
590,0.069
600,0.078
600,0.07
600,0.08
600,0.079
600,0.076
610,0.071
610,0.078
610,0.071
610,0.081
610,0.078
620,0.083
620,0.072
620,0.078
620,0.073
620,0.077
630,0.073
630,0.085
630,0.168
630,0.096
630,0.083
640,0.078
640,0.085
640,0.087
640,0.084
640,0.092
650,0.124
650,0.125
650,0.122
650,0.124
650,0.126
660,0.143
660,0.171
660,0.135
660,0.155
660,0.16
670,0.14
670,0.168
670,0.16
670,0.14
670,0.157
680,0.146
680,0.155
680,0.161
680,0.139
680,0.159
690,0.165
690,0.145
690,0.181
690,0.167
690,0.153
700,0.163
700,0.167
700,0.142
700,0.166
700,0.167
710,0.144
710,0.164
710,0.166
710,0.144
710,0.168
720,0.17
720,0.158
720,0.165
720,0.171
720,0.146
730,0.172
730,0.174
730,0.148
730,0.167
730,0.171
740,0.149
740,0.172
740,0.175
740,0.157
740,0.179
750,0.171
750,0.177
750,0.153
750,0.171
750,0.177
760,0.153
760,0.088
760,0.087
760,0.124
760,0.091
770,0.119
770,0.139
770,0.099
770,0.101
770,0.088
780,0.089
780,0.091
780,0.089
780,0.094
780,0.089
790,0.09
790,0.089
790,0.095
790,0.098
790,0.098
800,0.091
800,0.091
800,0.091
800,0.091
800,0.097
810,0.092
810,0.092
810,0.092
810,0.092
810,0.098
820,0.093
820,0.092
820,0.096
820,0.093
820,0.092
830,0.105
830,0.094
830,0.093
830,0.095
830,0.096
840,0.104
840,0.097
840,0.096
840,0.1
840,0.096
850,0.097
850,0.102
850,0.096
850,0.096
850,0.096
860,0.097
860,0.105
860,0.097
860,0.098
860,0.098
870,0.099
870,0.104
870,0.098
870,0.098
870,0.117
880,0.102
880,0.1
880,0.108
880,0.105
880,0.099
890,0.1
890,0.1
890,0.107
890,0.101
890,0.102
900,0.101
900,0.101
900,0.107
900,0.101
900,0.101
910,0.102
910,0.102
910,0.109
910,0.104
910,0.102
920,0.103
920,0.102
920,0.103
920,0.109
920,0.103
930,0.105
930,0.104
930,0.104
930,0.114
