Term Amount,Peak Memory (b)
0,16
10,7280
20,26720
30,45592
40,114432
50,143568
60,186544
70,370184
80,420056
90,546272
100,596048
110,648352
120,707792
130,804496
140,890936
150,955984
160,1684696
170,1794008
180,1904696
190,1996856
200,2089016
210,2201144
220,2314984
230,2674496
240,2522824
250,2898192
260,3092192
270,3133152
280,3339920
290,3560160
300,3601120
310,3642080
320,3683040
330,3724000
340,3958272
350,3999232
360,4250256
370,4291216
380,4332176
390,4599088
400,4640048
410,4681008
420,4967024
430,5007984
440,5048944
450,4729736
460,5396672
470,5437632
480,5053912
490,5146072
500,5847920
510,5888880
520,5474152
530,5566312
540,5658472
550,5750632
560,5898584
570,5990744
580,6082904
590,6175064
600,6327464
610,6419624
620,6511784
630,6603944
640,6696104
650,6788264
660,6880424
670,6972584
680,7064744
690,7156904
700,7314376
710,7406536
720,7498696
730,4587144
740,4621400
750,4753592
760,4754728
770,4852080
780,4847624
790,4899016
800,4834248
810,5018024
820,5020456
830,5065104
840,5074928
850,5123584
860,5127288
870,5182976
880,5290056
890,5307152
900,5288752
910,5374920
920,5390336
930,5418688
940,5534152
950,5597040
960,5595992
970,5617696
980,5635848
990,5676752
1000,5706064
1010,5719608
1020,5888880
1030,5909360
1040,5964720
1050,5950320
1060,5984920
1070,6001248
1080,6011760
1090,6343136
1100,6363616
1110,6384096
1120,6404576
1130,6425056
1140,6445536
1150,6466016
1160,6486496
1170,6506976
1180,6863888
1190,6884368
1200,6904848
1210,6925328
1220,6945808
1230,6966288
1240,6986768
1250,7007248
1260,7027728
1270,7048208
1280,7432192
1290,7452672
1300,7473152
1310,7493632
1320,7514112
1330,7534592
1340,7555072
1350,7575552
1360,7596032
1370,7616512
1380,7636992
1390,7657472
1400,7677952
1410,7698432
1420,7718912
1430,7739392
1440,7759872
1450,7780352
1460,7800832
1470,7821312
1480,7841792
1490,8256016
1500,8276496
1510,8296976
1520,8317456
1530,8337936
1540,8358416
1550,8378896
1560,8399376
1570,8419856
1580,8440336
1590,8460816
1600,8481296
1610,8352728
1620,8398808
1630,8444888
1640,8490968
1650,8537048
1660,8583128
1670,8629208
1680,8675288
1690,8721368
1700,8767448
1710,8813528
1720,9153152
1730,8905688
1740,9028088
1750,9074168
1760,9120248
1770,9166328
1780,9212408
1790,9258488
1800,9304568
1810,9350648
1820,9396728
1830,9442808
1840,5686920
1850,5712712
1860,5705168
1870,5848040
1880,5855232
1890,5815504
1900,5890256
1910,5849592
1920,5858968
1930,5872472
1940,5915040
1950,5925880
1960,5936144
1970,5920920
1980,5967544
1990,5969672
2000,6005520
2010,6027016
2020,6091176
2030,6111568
2040,6111824
2050,6179904
2060,6174160
2070,6159752
2080,6195912
2090,6166168
2100,6224120
2110,6232968
2120,6188080
2130,6191048
2140,6242952
2150,6279616
2160,6301232
2170,6291624
2180,6371992
2190,6448208
2200,6415944
2210,6445240
2220,6466976
2230,6465456
2240,6488512
2250,6517640
2260,6494880
2270,6492688
2280,6522536
2290,6532512
2300,6557464
2310,6553112
2320,6562248
2330,6608440
2340,6555992
2350,6627624
2360,6706432
2370,6715592
2380,6716088
2390,6758440
2400,6776528
2410,6780240
2420,6772624
2430,6803240
2440,6837192
2450,6810928
2460,6824312
2470,6863808
2480,6874192
2490,6837992
2500,6887832
2510,6884128
2520,6887816
2530,6926208
2540,6949936
2550,7061536
2560,7094168
2570,7079184
2580,7114960
2590,7110464
2600,7124136
2610,7150024
2620,7130128
2630,7178304
2640,7176976
2650,7168520
2660,7171088
2670,7221472
2680,7225784
2690,7237800
2700,7251496
2710,7247480
2720,7285272
2730,7242768
2740,7255568
2750,7299168
2760,7636992
2770,7647232
2780,7657472
2790,7667712
2800,7677952
2810,7688192
2820,7698432
2830,7708672
2840,7718912
2850,7729152
2860,7739392
2870,7749632
2880,7759872
2890,7770112
2900,7780352
2910,7790592
2920,7800832
2930,7811072
2940,7821312
2950,7831552
2960,7841792
2970,7852032
2980,8256016
2990,8266256
3000,8276496
3010,8286736
3020,8296976
3030,8307216
3040,8317456
3050,8327696
3060,8337936
3070,8348176
3080,8358416
3090,8368656
3100,8378896
3110,8389136
3120,8399376
3130,8409616
3140,8419856
3150,8430096
3160,8440336
3170,8450576
3180,8460816
3190,8471056
3200,8481296
3210,8491536
3220,8927872
3230,8938112
3240,8948352
3250,8958592
3260,8968832
3270,8979072
3280,8989312
3290,8999552
3300,9009792
3310,9020032
3320,9030272
3330,9040512
3340,9050752
3350,9060992
3360,9071232
3370,9081472
3380,9091712
3390,9101952
3400,9112192
3410,9122432
3420,9132672
3430,9142912
3440,9153152
3450,9163392
3460,9173632
3470,9183872
3480,9654448
3490,9664688
3500,9674928
3510,9685168
3520,9695408
3530,9705648
3540,9715888
