Term Amount,Time (ms)
0,0.004
0,0.001
0,0
0,0
0,0
10,0.023
10,0.017
10,0.015
10,0.025
10,0.015
20,0.067
20,0.057
20,0.056
20,0.056
20,0.056
30,0.138
30,0.12
30,0.129
30,0.124
30,0.115
40,0.266
40,0.218
40,0.221
40,0.224
40,0.217
50,0.341
50,0.336
50,0.316
50,0.322
50,0.319
60,0.487
60,0.467
60,0.45
60,0.458
60,0.456
70,0.693
70,0.616
70,0.624
70,0.629
70,0.62
80,0.833
80,0.792
80,1.159
80,1.485
80,0.81
90,1.164
90,1.117
90,1.116
90,1.12
90,1.099
100,1.425
100,1.762
100,1.93
100,1.918
100,4.495
110,3.281
110,1.994
110,2.042
110,2.211
110,1.71
120,1.908
120,1.892
120,1.965
120,1.899
120,1.866
130,2.374
130,2.347
130,2.752
130,2.25
130,2.249
140,2.77
140,2.602
140,2.592
140,3.651
140,4.04
150,4.64
150,3.924
150,3.369
150,2.912
150,2.904
160,3.752
160,3.353
160,4.002
160,3.406
160,3.416
170,3.936
170,5.499
170,5.159
170,4.504
170,3.765
180,6.244
180,5.434
180,4.26
180,4.391
180,4.26
190,5.012
190,4.874
190,4.687
190,4.739
190,4.853
200,7.916
200,5.873
200,6.678
200,5.537
200,6.013
210,9.843
210,9.454
210,8.924
210,5.689
210,5.689
220,6.459
220,6.14
220,6.237
220,6.523
220,6.338
230,8.414
230,8.834
230,8.812
230,11.468
230,10.068
240,11.969
240,12.322
240,10.941
240,18.055
240,13.992
250,13.737
250,17.41
250,12.734
250,12.288
250,13.29
260,13.041
260,10.726
260,11.094
260,10.072
260,13.122
270,10.635
270,12.743
270,10.501
270,12.143
270,14.819
280,13.764
280,15.806
280,15.46
280,11.709
280,13.414
290,13.517
290,19.36
290,14.383
290,17.21
290,17.569
300,14.952
300,15.825
300,17.762
300,15.865
300,32.176
310,25.952
310,21.307
310,16.315
310,13.891
310,20.138
320,14.276
320,14.252
320,16.237
320,14.785
320,14.608
330,19.846
330,14.78
330,14.057
330,13.703
330,14.939
340,15.101
340,18.949
340,19.58
340,19.391
340,18.525
350,18.023
350,24.459
350,24.401
350,20.11
350,17.665
360,18.385
360,20.544
360,19.738
360,18.595
360,18.323
370,18.969
370,23.867
370,21.836
370,19.516
370,18.982
380,19.709
380,25.498
380,39.469
380,20.204
380,20.511
390,27.124
390,20.259
390,20.302
390,20.916
390,20.247
400,24.619
400,21.207
400,20.491
400,21
400,28.387
410,21.467
410,24.939
410,22.479
410,25.409
410,23.384
420,22.323
420,22.666
420,20.698
420,24.326
420,21.031
430,21.719
430,21.815
430,28.77
430,22.305
430,22.998
440,23.546
440,30.335
440,23.29
440,23.595
440,23.169
450,29.755
450,24.239
450,28.826
450,23.092
450,29.542
460,25.41
460,27.54
460,24.571
460,33.396
460,24.827
470,25.616
470,31.156
470,28.192
470,26.736
470,25.898
480,36.925
480,33.819
480,31.445
480,36.131
480,26.89
490,28.714
490,41.154
490,35.165
490,32.513
490,39.474
500,30.349
500,28.227
500,31.145
500,27.652
500,30.611
510,35.895
510,29.634
510,29.139
510,34.498
510,28.679
520,31.54
520,33.657
520,29.835
520,29.341
520,29.923
530,32.745
530,31.332
530,33.366
530,44.186
530,30.937
540,31.383
540,31.822
540,30.609
540,59.528
540,51.173
550,60.766
550,40.41
550,41.364
550,33.471
550,31.804
560,41.951
560,42.957
560,42.581
560,34.968
560,34.604
570,44.347
570,40.814
570,36.192
570,38.189
570,33.451
580,41.669
580,35.291
580,38.889
580,47.507
580,53.33
590,39.382
590,35.049
590,35.574
590,42.289
590,35.386
600,45.829
600,39.244
600,36.845
600,42.788
600,45.656
610,58.363
610,49.639
610,44.027
610,36.434
610,42.308
620,37.195
620,39.325
620,43.023
620,65.636
620,60.647
630,40.19
630,40.709
630,39.889
630,49.838
630,38.843
640,45.518
640,42.436
640,45.447
640,56.411
640,54.274
650,43.149
650,57.044
650,44.709
650,43.078
650,43.71
660,42.328
660,45.803
660,41.535
660,51.546
660,62.457
670,69.388
670,42.717
670,45.702
670,56.721
670,47.001
680,50.479
680,50.692
680,45.277
680,47.889
680,53.294
690,53.363
690,81.566
690,47.043
690,58.802
690,79.847
700,98.685
700,50.65
700,59.608
700,54.534
700,62.105
710,53.871
710,67.716
710,61.988
710,50.134
710,53.759
720,52.728
720,62.891
720,60.096
720,53.475
720,63.982
730,51.326
730,56.169
730,51.616
730,54.452
730,48.36
740,55.281
740,50.781
740,59.365
740,56.803
740,54.223
750,56.492
750,54.787
750,57.248
750,54.96
750,56.903
760,54.178
760,55.314
760,54.155
760,55.25
760,57.63
770,54.266
770,64.667
770,85.692
770,74.23
770,58.462
780,61.283
780,58.663
780,61.994
780,57.654
780,62.593
790,66.351
790,57.535
790,64.926
790,61.975
790,58.82
800,62.211
800,64.773
800,65.2
800,69.167
800,61.752
810,68.788
810,67.283
810,62.497
810,66.73
810,67.338
820,64.549
820,66.016
820,67.849
820,59.88
820,65.528
830,63.73
830,64.148
830,68.775
830,60.617
830,64.596
840,84.254
840,89.01
840,70.433
840,63.278
840,69.767
850,74.372
850,63.74
850,84.316
850,68.974
850,67.071
860,69.345
860,74.631
860,67.184
860,68.151
860,72.479
870,77.333
870,73.488
870,82.094
870,77.959
870,72.892
880,77.579
880,74.224
880,73.246
880,77.529
880,73.414
890,72.398
890,77.21
890,80.204
890,88.912
890,134.57
900,139.019
900,74.356
900,77.564
900,76.81
900,70.647
910,78.772
910,79.342
910,79.693
910,78.178
910,73.02
920,79.075
920,101.246
920,103.491
920,112.875
920,91.071
930,92.648
930,86.037
930,83.397
930,80.757
930,75.214
940,81.565
940,82.998
940,82.928
940,93.528
940,98.257
950,113.412
950,87.214
950,84.647
950,81.725
950,137.914
960,88.425
960,79.834
960,85.232
960,85.038
960,91.539
970,104.619
970,109.655
970,94.416
970,94.604
970,87.571
980,89.911
980,89.373
980,89.035
980,84.043
980,85.582
990,105.207
990,91.849
990,91.077
990,135.585
990,95.407
1000,87.822
1000,92.03
1000,91.219
1000,105.635
1000,93.272
1010,108.08
1010,92.188
1010,97.814
1010,100.59
1010,107.476
1020,101.222
1020,100.856
1020,97.482
1020,94.375
1020,96.476
1030,108.421
1030,98.509
1030,99.744
1030,99.014
1030,122.174
1040,144.31
1040,100.093
1040,100.212
1040,99.302
1040,99.808
1050,111.7
1050,105.293
1050,102.301
1050,105.564
1050,115.453
1060,113.933
1060,102.944
1060,100.996
1060,114.02
1060,116.882
1070,107.24
1070,102.689
1070,106.104
1070,106.216
1070,113.716
1080,138.585
1080,102.593
1080,105.816
1080,114.824
1080,106.187
1090,110.755
1090,112.352
1090,111.25
1090,115.494
1090,119.431
1100,218.674
1100,132.624
1100,131.016
1100,111.305
1100,123.551
1110,119.656
1110,149.252
1110,214.454
1110,121.021
1110,116.642
1120,114.481
1120,114.804
1120,121.689
1120,117.322
1120,132.086
1130,124.663
