Term Amount,Peak Memory (b)
0,16
10,7856
20,27960
30,58712
40,121280
50,169696
60,237648
70,312000
80,393912
90,602528
100,652312
110,758160
120,873456
130,1016496
140,1150840
150,1254832
160,1413184
170,1541776
180,1685072
190,1828264
200,1947768
210,2099392
220,2226856
230,2882304
240,2477848
250,3118160
260,3372640
270,3372640
280,3648464
290,3946784
300,3946784
310,3946784
320,3946784
330,3959736
340,4268096
350,4268096
360,4617552
370,4617552
380,4627496
390,4993136
400,4993136
410,4993136
420,5400560
430,5400560
440,5400560
450,4630776
460,5842688
470,5842688
480,4811640
490,4906280
500,6320880
510,6320880
520,5242416
530,5244320
540,5193080
550,5368808
560,5485416
570,5358744
580,5523944
590,5504456
600,5572816
610,5605800
620,5604960
630,5646064
640,5797208
650,5856624
660,5857072
670,5870064
680,5939336
690,5805272
700,6178360
710,6091840
720,6078344
730,6064008
740,6096152
750,6262584
760,6217448
770,6396816
780,6338632
790,6410760
800,6211848
810,6491112
820,6449000
830,6505392
840,6480528
850,6546272
860,6507128
870,6589280
880,6681096
890,6673200
900,6582480
910,6735752
920,6723936
930,6742304
940,6844616
950,6943568
960,6893336
970,6896192
980,6890760
990,6938416
1000,6959024
1010,6942840
1020,7135280
1030,7096752
1040,7242576
1050,7021488
1060,7194136
1070,7184448
1080,7013480
1090,7417632
1100,7341416
1110,7357544
1120,7411024
1130,7319856
1140,7324728
1150,7535120
1160,7436280
1170,7487856
1180,7527368
1190,7507712
1200,7486656
1210,7577264
1220,7510624
1230,7518856
1240,7493432
1250,7606048
1260,7690776
1270,7572784
1280,8002240
1290,8002240
1300,8002240
1310,8002240
1320,8002240
1330,8002240
1340,8002240
1350,8002240
1360,8002240
1370,8002240
1380,8002240
1390,8002240
1400,8002240
1410,8002240
1420,8002240
1430,8002240
1440,8002240
1450,8002240
1460,8002240
1470,8002240
1480,8002240
1490,8657232
1500,8657232
1510,8657232
1520,8657232
1530,8657232
1540,8657232
1550,8657232
1560,8657232
1570,8657232
1580,8657232
1590,8657232
1600,8657232
1610,7418200
1620,7297912
1630,7344000
1640,7406776
1650,7401736
1660,7361976
1670,7397984
1680,7427048
1690,7350720
1700,7425480
1710,7454432
1720,9366016
1730,7393224
1740,7561832
1750,7500512
1760,7562616
1770,7582048
1780,7581208
1790,7506000
1800,7564744
1810,7551752
1820,7625672
1830,7583952
1840,7526216
1850,7562504
1860,7521008
1870,7720232
1880,7713120
1890,7596528
1900,7747056
1910,7628280
1920,7626264
1930,7633880
1940,7709312
1950,7710712
1960,7710768
1970,7651352
1980,7736248
1990,7717320
2000,7777072
2010,7803336
2020,7809832
2030,7833520
2040,7810224
2050,7945184
2060,7907888
2070,7850376
2080,7910856
2090,7817560
2100,7928888
2110,7925640
2120,7797008
2130,7780040
2140,7877256
2150,7938912
2160,7965456
2170,7919144
2180,7953944
2190,8107888
2200,8008712
2210,8053176
2220,8080000
2230,8052560
2240,8082464
2250,8126536
2260,8049536
