Term Amount,Time (ms)
0,0.004
0,0.001
0,0
0,0
0,0
10,0.028
10,0.02
10,0.028
10,0.018
10,0.019
20,0.094
20,0.075
20,0.073
20,0.073
20,0.081
30,0.175
30,0.168
30,0.161
30,0.165
30,0.166
40,0.33
40,0.296
40,0.339
40,0.295
40,0.383
50,0.505
50,0.454
50,0.568
50,0.457
50,0.451
60,0.687
60,0.641
60,0.686
60,0.695
60,0.725
70,0.948
70,0.874
70,0.877
70,0.868
70,0.866
80,1.234
80,1.144
80,1.236
80,1.106
80,1.123
90,1.611
90,1.525
90,1.668
90,1.545
90,1.586
100,2.108
100,2.031
100,1.852
100,1.902
100,2.224
110,3.332
110,2.854
110,2.761
110,2.218
110,2.195
120,2.649
120,2.781
120,2.803
120,2.66
120,2.558
130,3.043
130,3.097
130,3.019
130,3.081
130,3.026
140,3.459
140,4.082
140,3.573
140,3.617
140,3.595
150,4.007
150,4.248
150,3.981
150,4.373
150,3.995
160,4.835
160,4.948
160,4.649
160,6.755
160,6.761
170,5.308
170,5.427
170,5.171
170,5.247
170,5.14
180,6.099
180,5.855
180,5.778
180,5.615
180,7.378
190,6.746
190,6.668
190,7.363
190,6.694
190,10.864
200,8.843
200,7.088
200,6.972
200,7.001
200,6.985
210,7.725
210,7.516
210,7.468
210,8.581
210,13.383
220,8.403
220,12.235
220,8.725
220,8.849
220,8.35
230,9.935
230,9.861
230,9.584
230,9.74
230,9.457
240,9.579
240,12.514
240,14.093
240,9.573
240,15.138
250,13.54
250,16.336
250,14.019
250,14.852
250,15.065
260,13.044
260,14.46
260,12.563
260,12.587
260,12.339
270,12.746
270,18.734
270,12.968
270,16.384
270,14.263
280,15.582
280,14.971
280,15.149
280,14.828
280,16.142
290,19.761
290,14.128
290,18.71
290,36.635
290,30.82
300,36.986
300,36.593
300,19.801
300,28.44
300,15.268
310,19.437
310,16.035
310,17.305
310,15.553
310,15.298
320,16.111
320,20.108
320,16.348
320,16.486
320,16.294
330,17.012
330,17.024
330,21.101
330,17.259
330,17.266
340,17.892
340,18.251
340,23.381
340,19.041
340,23.248
350,22.399
350,21.99
350,27.529
350,24.311
350,20.234
360,21.489
360,24.533
360,19.879
360,20.291
360,19.942
370,20.535
370,24.205
370,20.688
370,21.813
370,20.639
380,24.402
380,22.054
380,21.417
380,23.617
380,21.401
390,25.961
390,22.526
390,23.032
390,22.87
390,26.802
400,24.218
400,25.971
400,23.089
400,27.5
400,23.446
410,26.174
410,25.105
410,29.755
410,25.483
410,23.804
420,25.467
420,29.332
420,25.649
420,25.517
420,31.301
430,32.072
430,32.584
430,28.768
430,31.919
430,29.578
440,33.212
440,32.265
440,29.71
440,29.862
440,31.993
450,26.734
450,26.356
450,26.686
450,29.663
450,27.866
460,34.714
460,37.403
460,29.346
460,30.226
460,33.489
470,41.012
470,31.28
470,35.638
470,31.705
470,36.002
480,32.387
480,29.513
480,29.097
480,35.019
480,29.139
490,30.43
490,35.322
490,31.659
490,30.417
490,35.382
500,34.488
500,34.357
500,47.674
500,41.276
500,45.868
510,39.652
510,35.235
510,39.082
510,34.725
510,42.029
520,45.424
520,73.566
520,63.478
520,36.998
520,33.877
530,37.501
530,38.955
530,36.355
530,39.92
530,34.527
540,35.243
540,43.248
540,40.587
540,40.521
540,35.726
550,38.404
550,41.913
550,39.079
550,44.082
550,44.701
560,44.883
560,44.653
560,43.056
560,48.991
560,42.149
570,48.509
570,54.781
570,54.754
570,40.126
570,46.654
580,42.15
580,47.569
580,42.064
580,40.584
580,43.734
590,41.08
590,46.055
590,42.567
590,48.101
590,58.386
600,71.794
600,53.816
600,63.14
600,84.591
600,91.546
610,83.89
610,48.431
610,50.024
610,58.159
610,56.003
620,49.576
620,58.839
620,54.012
620,55.042
620,91.07
630,128.976
630,86.606
630,90.949
630,72.014
630,115.423
640,117.938
640,89.255
640,85.479
640,60.929
640,67.967
650,59.863
650,52.876
650,59.491
650,128.902
650,198.466
660,180.848
660,77.213
660,63.276
660,80.106
660,71.878
670,52.5
670,59.936
670,51.415
670,55.11
670,55.271
680,59.497
680,73.89
680,94.888
680,71.416
680,55.709
690,72.182
690,74.384
690,174.138
690,98.391
690,94.399
700,89.328
700,90.684
700,90.749
700,99.576
700,114.593
710,65.853
710,72.744
710,112.94
710,111.995
710,94.887
720,108.483
720,92.802
720,90.503
720,148.157
720,127.378
730,94.852
730,95.399
730,70.246
730,64.853
730,94.703
740,99.159
740,91.899
740,100.57
740,110.658
740,120.499
750,99.065
750,96.41
750,92.138
750,140.182
750,89.648
760,69.056
760,97.732
760,110.239
760,106.489
760,113.129
770,103.276
770,117.898
770,104.083
770,137.881
770,132.785
780,88.674
780,71.146
780,176.323
780,122.456
780,113.591
790,115.573
790,124.193
790,134.764
790,167.892
790,189.118
800,108.501
800,115.526
800,110.564
800,111.243
800,121.598
810,158.783
810,111.546
810,119.994
810,133.238
810,87.61
820,82.529
820,112.735
820,134.667
820,120.563
820,124.315
830,146.504
830,155.789
830,141.683
830,127.556
830,118.397
840,86.008
840,82.258
840,86.135
840,78.963
840,80.32
850,92.967
850,96.799
850,90.134
850,86.137
850,93.332
860,83.553
860,81.931
860,82.779
860,82.968
860,86.471
870,86.664
870,100.24
870,101.882
870,121.172
870,92.394
880,89.302
880,88.324
880,104.77
880,167.903
880,89.627
890,100.999
890,103.768
890,116.903
890,117.235
890,103.04
900,101.341
900,101.178
900,91.792
900,90.882
900,100.507
910,93.555
910,108.287
910,115.32
910,132.29
910,127.317
920,111.886
920,94.684
920,105.729
920,100.012
920,100.436
930,101.064
930,124.268
930,97.31
930,107.075
930,112.925
940,116.309
940,99.778
940,100.569
940,99.737
940,99.177
950,111.464
950,107.232
950,138.072
950,169.24
950,134.894
960,115.47
960,123.156
960,198.808
960,120.929
960,114.722
970,116.166
970,136.107
970,133.618
970,144.484
970,124.534
980,144.669
980,134.973
980,115.607
980,108.488
980,119.345
990,151.623
990,123.679
990,113.853
990,127.304
990,127.435
1000,136.735
1000,126.904
1000,167.04
1000,140.613
1000,138.164
1010,126.092
1010,118.289
1010,115.713
1010,129.612
1010,117.026
1020,117.75
1020,118.904
1020,158.802
1020,124.149
1020,116.844
1030,140.145
1030,144.508
1030,118.055
1030,117.944
1030,146.334
1040,145.37
1040,138.074
1040,126.967
1040,136.523
1040,133.138
1050,134.339
1050,197.024
1050,144.067
1050,171.147
1050,128.89
1060,144.47
1060,135.247
1060,139.472
1060,137.573
1060,148.23
1070,162.448
1070,148.051
1070,143.813
1070,134.735
1070,144.662
1080,137.628
1080,146.021
1080,152.755
1080,174.664
1080,134.049
1090,143.961
1090,145.77
1090,136.03
1090,152.258
1090,142.341
1100,160.682
1100,185.012
1100,146.398
1100,150.742
1100,239.992
1110,172.284
1110,202.733
1110,159.159
1110,147.777
1110,148.067
1120,159.971
1120,153.955
1120,154.638
1120,166.788
1120,207.194
1130,147.841
