Term Amount,Time (ms)
0,0
0,0
0,0.001
0,0
0,0
10,0.001
10,0
10,0.001
10,0.001
10,0
20,0.001
20,0.001
20,0.001
20,0.002
20,0.001
30,0.002
30,0.002
30,0.002
30,0.002
30,0.002
40,0.003
40,0.002
40,0.003
40,0.002
40,0.003
50,0.003
50,0.003
50,0.003
50,0.003
50,0.003
60,0.003
60,0.003
60,0.004
60,0.004
60,0.003
70,0.004
70,0.004
70,0.005
70,0.004
70,0.004
80,0.005
80,0.005
80,0.005
80,0.005
80,0.005
90,0.005
90,0.006
90,0.007
90,0.006
90,0.005
100,0.006
100,0.006
100,0.015
100,0.006
100,0.006
110,0.007
110,0.006
110,0.006
110,0.007
110,0.007
120,0.007
120,0.007
120,0.008
120,0.017
120,0.007
130,0.008
130,0.008
130,0.008
130,0.008
130,0.008
140,0.008
140,0.008
140,0.009
140,0.009
140,0.009
150,0.009
150,0.009
150,0.009
150,0.009
150,0.009
160,0.01
160,0.009
160,0.01
160,0.01
160,0.01
170,0.01
170,0.01
170,0.02
170,0.011
170,0.01
180,0.011
180,0.011
180,0.011
180,0.01
180,0.011
190,0.012
190,0.011
190,0.011
190,0.012
190,0.011
200,0.012
200,0.012
200,0.017
200,0.012
200,0.012
210,0.013
210,0.019
210,0.012
210,0.013
210,0.012
220,0.014
220,0.013
220,0.013
220,0.013
220,0.013
230,0.014
230,0.014
230,0.013
230,0.014
230,0.014
240,0.014
240,0.015
240,0.02
240,0.015
240,0.014
250,0.015
250,0.015
250,0.015
250,0.014
250,0.015
260,0.016
260,0.016
260,0.016
260,0.015
260,0.016
270,0.016
270,0.021
270,0.016
270,0.016
270,0.016
280,0.017
280,0.017
280,0.016
280,0.031
280,0.02
290,0.022
290,0.017
290,0.024
290,0.017
290,0.017
300,0.018
300,0.018
300,0.021
300,0.018
300,0.018
310,0.018
310,0.019
310,0.019
310,0.023
310,0.018
320,0.019
320,0.019
320,0.019
320,0.019
320,0.019
330,0.019
330,0.02
330,0.019
330,0.025
330,0.02
340,0.02
340,0.02
340,0.02
340,0.021
340,0.02
350,0.021
350,0.02
350,0.026
350,0.021
350,0.02
360,0.022
360,0.021
360,0.022
360,0.022
360,0.021
370,0.027
370,0.022
370,0.022
370,0.022
370,0.022
380,0.023
380,0.022
380,0.029
380,0.022
380,0.028
390,0.023
390,0.023
390,0.024
390,0.023
390,0.023
400,0.024
400,0.023
400,0.029
400,0.024
400,0.024
410,0.025
410,0.024
410,0.024
410,0.024
410,0.03
420,0.025
420,0.025
420,0.025
420,0.025
420,0.025
430,0.025
430,0.026
430,0.03
430,0.025
430,0.026
440,0.026
440,0.026
440,0.026
440,0.026
440,0.03
450,0.027
