Term Amount,Time (ms)
0,0.001
0,0
0,0
0,0
0,0
10,0.002
10,0.001
10,0
10,0.001
10,0.001
20,0.002
20,0.001
20,0.001
20,0.001
20,0.001
30,0.002
30,0.002
30,0.002
30,0.004
30,0.002
40,0.004
40,0.003
40,0.003
40,0.002
40,0.003
50,0.003
50,0.003
50,0.004
50,0.003
50,0.003
60,0.004
60,0.003
60,0.003
60,0.004
60,0.004
70,0.005
70,0.004
70,0.004
70,0.005
70,0.004
80,0.007
80,0.005
80,0.005
80,0.005
80,0.013
90,0.007
90,0.006
90,0.005
90,0.005
90,0.006
100,0.007
100,0.006
100,0.006
100,0.006
100,0.006
110,0.008
110,0.006
110,0.006
110,0.006
110,0.007
120,0.01
120,0.007
120,0.007
120,0.007
120,0.007
130,0.009
130,0.008
130,0.008
130,0.007
130,0.008
140,0.019
140,0.009
140,0.008
140,0.008
140,0.009
150,0.014
150,0.009
150,0.008
150,0.009
150,0.009
160,0.012
160,0.01
160,0.009
160,0.01
160,0.009
170,0.012
170,0.01
170,0.01
170,0.016
170,0.01
180,0.013
180,0.01
180,0.011
180,0.01
180,0.011
190,0.014
190,0.011
190,0.011
190,0.011
190,0.011
200,0.015
200,0.011
200,0.012
200,0.017
200,0.012
210,0.015
210,0.013
210,0.012
210,0.013
210,0.013
220,0.016
220,0.013
220,0.013
220,0.013
220,0.013
230,0.022
230,0.014
230,0.013
230,0.014
230,0.014
240,0.017
240,0.015
240,0.014
240,0.014
240,0.014
250,0.018
250,0.02
250,0.014
250,0.015
250,0.015
260,0.018
260,0.016
260,0.015
260,0.016
260,0.015
270,0.019
270,0.018
270,0.021
270,0.016
270,0.016
280,0.02
280,0.016
280,0.017
280,0.017
280,0.016
290,0.02
290,0.023
290,0.017
290,0.017
290,0.018
300,0.022
300,0.018
300,0.018
300,0.018
300,0.018
310,0.028
310,0.019
310,0.018
310,0.018
310,0.019
320,0.022
320,0.019
320,0.019
320,0.018
320,0.024
330,0.025
330,0.019
330,0.02
330,0.02
330,0.019
340,0.025
340,0.02
340,0.031
340,0.021
340,0.02
350,0.027
350,0.021
350,0.026
350,0.021
350,0.021
360,0.032
360,0.022
360,0.021
360,0.022
360,0.021
370,0.027
370,0.022
370,0.028
370,0.022
370,0.022
380,0.027
380,0.023
380,0.022
380,0.023
380,0.027
390,0.028
390,0.023
390,0.023
390,0.024
390,0.027
400,0.029
400,0.029
400,0.024
400,0.024
400,0.024
410,0.03
410,0.025
410,0.029
410,0.025
410,0.025
420,0.029
420,0.027
420,0.025
420,0.025
420,0.03
430,0.03
430,0.025
430,0.026
430,0.025
430,0.026
440,0.036
440,0.026
440,0.026
440,0.026
440,0.026
450,0.032
450,0.031
450,0.027
450,0.027
450,0.027
460,0.032
460,0.028
460,0.032
460,0.027
460,0.027
470,0.033
470,0.03
470,0.028
470,0.034
470,0.028
480,0.033
480,0.028
480,0.029
480,0.029
480,0.034
490,0.035
490,0.029
490,0.029
490,0.029
490,0.035
500,0.037
500,0.03
500,0.029
500,0.03
500,0.036
510,0.037
510,0.031
510,0.03
510,0.031
510,0.036
520,0.037
520,0.031
520,0.031
520,0.031
520,0.031
530,0.043
530,0.032
530,0.031
530,0.031
530,0.046
540,0.044
540,0.032
540,0.032
540,0.032
540,0.037
550,0.038
550,0.033
550,0.032
550,0.032
550,0.037
560,0.04
560,0.033
560,0.034
560,0.033
560,0.038
570,0.041
570,0.034
570,0.038
570,0.04
570,0.041
580,0.04
580,0.035
580,0.034
580,0.042
580,0.034
590,0.041
590,0.035
590,0.035
590,0.04
590,0.035
600,0.042
600,0.035
600,0.041
600,0.035
600,0.035
610,0.043
610,0.036
610,0.041
610,0.036
610,0.036
620,0.043
620,0.042
620,0.036
620,0.036
620,0.037
630,0.05
630,0.039
630,0.038
630,0.037
630,0.037
640,0.05
640,0.038
640,0.038
640,0.039
640,0.043
650,0.045
650,0.038
650,0.038
650,0.044
650,0.038
660,0.047
660,0.039
660,0.045
660,0.039
660,0.04
670,0.047
670,0.045
670,0.04
670,0.041
670,0.04
680,0.053
680,0.041
680,0.04
680,0.041
680,0.045
690,0.048
690,0.04
690,0.041
690,0.046
690,0.041
700,0.049
700,0.046
700,0.042
700,0.041
700,0.042
710,0.055
710,0.042
710,0.042
710,0.042
710,0.049
720,0.051
720,0.043
720,0.043
720,0.048
720,0.043
730,0.052
730,0.051
730,0.044
730,0.043
730,0.043
740,0.056
740,0.044
740,0.044
740,0.044
740,0.049
750,0.052
750,0.045
750,0.049
750,0.047
750,0.044
760,0.053
760,0.051
760,0.045
760,0.045
760,0.05
770,0.054
770,0.045
770,0.046
770,0.051
770,0.046
780,0.056
780,0.051
780,0.046
780,0.046
780,0.046
790,0.061
790,0.048
790,0.046
790,0.052
790,0.047
800,0.056
800,0.053
800,0.047
800,0.048
800,0.048
810,0.062
810,0.048
810,0.048
810,0.053
810,0.048
820,0.056
820,0.054
820,0.049
820,0.049
820,0.056
830,0.058
830,0.049
830,0.049
830,0.055
830,0.05
840,0.059
840,0.055
840,0.05
840,0.05
840,0.055
850,0.061
850,0.05
850,0.055
850,0.05
850,0.05
860,0.066
860,0.051
860,0.051
860,0.056
860,0.051
870,0.062
870,0.057
870,0.051
870,0.051
870,0.057
880,0.061
880,0.052
880,0.057
880,0.052
880,0.053
890,0.068
890,0.052
890,0.052
890,0.06
890,0.065
900,0.064
900,0.061
900,0.053
900,0.053
900,0.058
910,0.065
910,0.054
910,0.063
910,0.08
910,0.058
920,0.076
920,0.057
920,0.056
920,0.068
920,0.056
930,0.065
930,0.06
930,0.056
930,0.056
930,0.061
