Term Amount,Peak Memory (b)
0,16
10,984
20,1928
30,2888
40,3864
50,4824
60,5816
70,6792
80,7736
90,8744
100,9688
110,10592
120,11456
130,12616
140,13496
150,14480
160,15496
170,16448
180,17392
190,18240
200,19224
210,20240
220,21192
230,22064
240,23128
250,24000
260,24960
270,25736
280,26848
290,28104
300,28760
310,29968
320,30792
330,31568
340,32680
350,33504
360,34720
370,35496
380,36224
390,37664
400,38368
410,39192
420,40408
430,41280
440,42056
450,43336
460,44184
470,44840
480,46336
490,47040
500,47888
510,48832
520,50160
530,50816
540,51712
550,52344
560,54176
570,54448
580,55392
590,56360
600,57784
610,58464
620,59408
630,60088
640,61080
650,62472
660,62936
670,63856
680,64584
690,65528
700,67272
710,67904
720,68896
730,69792
740,70592
750,71848
760,72768
770,73664
780,74488
790,75264
800,75920
810,77864
820,78544
830,79392
840,80072
850,81136
860,81816
870,82208
880,84352
890,84864
900,85976
910,86656
920,87264
930,88184
940,90280
950,90912
960,91832
970,92560
980,93360
990,94376
1000,94936
1010,95544
1020,97760
1030,98296
1040,98880
1050,99752
1060,100576
1070,101328
1080,102152
1090,104256
1100,105056
1110,105928
1120,106392
1130,107360
1140,108160
1150,109368
1160,109592
1170,110872
1180,112800
1190,113624
1200,114328
1210,114984
1220,115928
1230,116632
1240,117672
1250,117896
1260,119224
1270,119952
1280,122480
1290,122656
1300,122976
1310,124160
1320,125176
1330,126288
1340,127184
1350,127552
1360,128016
1370,128960
1380,131408
1390,131920
1400,133032
1410,133664
1420,134584
1430,135240
1440,135992
1450,136648
1460,137088
1470,137792
1480,139024
1490,142184
1500,142240
1510,143280
1520,143960
1530,144784
1540,145008
1550,145952
1560,147352
1570,147816
1580,148352
1590,149104
1600,149352
1610,152712
1620,153560
1630,154624
1640,154872
1650,155648
1660,156712
1670,157200
1680,158264
1690,158848
1700,159216
1710,159944
1720,161200
1730,162144
1740,164768
1750,165616
1760,166248
1770,167000
1780,168136
1790,168792
1800,169400
1810,169984
1820,171096
1830,171488
1840,172120
1850,173184
1860,173768
1870,177088
1880,177600
1890,178688
1900,179344
1910,179472
1920,180008
1930,181624
1940,181800
1950,182840
1960,184000
1970,184392
1980,185000
1990,185368
2000,186432
2010,187232
2020,190632
2030,191096
2040,192472
2050,193104
2060,193784
2070,194416
2080,195096
2090,195872
2100,196504
2110,197040
2120,198008
2130,198544
2140,200112
2150,200072
2160,201952
2170,201360
2180,205016
2190,206656
2200,206616
2210,207824
2220,208384
2230,208536
2240,209312
2250,210616
2260,211536
2270,211832
2280,212536
2290,213504
2300,214424
2310,213856
2320,215448
2330,215960
2340,217240
2350,217560
2360,222200
2370,222616
2380,222984
2390,223784
2400,224992
2410,225960
2420,225992
2430,227152
2440,227688
2450,228272
2460,229144
2470,230088
2480,231032
2490,231088
2500,232728
2510,232136
2520,233488
2530,234312
2540,234080
2550,239216
2560,240232
2570,239976
2580,241328
2590,242104
2600,243768
2610,243200
2620,244384
2630,244488
2640,245696
2650,246520
2660,247344
2670,248312
2680,248896
2690,248664
2700,249416
2710,249976
2720,251064
2730,252176
2740,253048
2750,252984
2760,257816
2770,258664
2780,258768
2790,260456
2800,260776
2810,261384
2820,261512
2830,263200
2840,264168
2850,264656
2860,265384
2870,265080
2880,266288
2890,268000
2900,268152
2910,269000
2920,269608
2930,269016
2940,270944
2950,271720
2960,271728
2970,272984
2980,276760
2990,278712
3000,279440
3010,279040
3020,280320
3030,281024
3040,282040
3050,283008
3060,283520
3070,284608
3080,284304
3090,285512
3100,287008
3110,286488
3120,287072
3130,288328
3140,288432
3150,289736
3160,290488
3170,291072
3180,291584
3190,292936
3200,294696
3210,293912
3220,299272
3230,299952
3240,301304
3250,301504
3260,301536
3270,302792
3280,303784
3290,303960
3300,305096
3310,305104
3320,305808
3330,307328
3340,307192
3350,309096
3360,308504
3370,309712
3380,310728
3390,310760
3400,311776
3410,312648
3420,312632
3430,314368
3440,314352
3450,315968
3460,315832
3470,315504
3480,321760
3490,322584
3500,323288
3510,324280
3520,324624
3530,324920
3540,325000
3550,326712
3560,327320
3570,328360
3580,328896
3590,330056
3600,329752
3610,330504
3620,331592
3630,331792
3640,333720
3650,333704
3660,335536
3670,336360
3680,336872
3690,336520
3700,336912
3710,337640
3720,338944
3730,337992
3740,340856
3750,341512
3760,348144
3770,347096
3780,349048
3790,348480
3800,349232
3810,351112
3820,351216
3830,350816
3840,352480
3850,353232
3860,353240
3870,355744
3880,355608
3890,356048
3900,356776
3910,356496
3920,357488
3930,358336
3940,359664
3950,360152
3960,360160
3970,360624
3980,362792
3990,362272
4000,363000
4010,363992
4020,364480
4030,366240
4040,365696
4050,368104
4060,367320
4070,373832
4080,375736
4090,375096
4100,374528
4110,376312
4120,377784
4130,377240
4140,378880
4150,379440
4160,379040
4170,380560
4180,379656
4190,382064
4200,381856
4210,382584
4220,384440
4230,384304
4240,385056
4250,386456
4260,386896
4270,386976
4280,388832
4290,389656
4300,389328
4310,390920
4320,390832
4330,391944
4340,390704
4350,392392
4360,394008
4370,394376
4380,394552
4390,395784
4400,402128
4410,402064
4420,403608
4430,404840
4440,404656
4450,405144
4460,406328
4470,405976
4480,407472
4490,408080
4500,409120
4510,409752
4520,410096
4530,410344
4540,411336
4550,412904
4560,413248
4570,412632
4580,414848
4590,414088
4600,415848
4610,416624
4620,417352
4630,417720
4640,418520
4650,419176
4660,419256
4670,421472
4680,421336
4690,420840
4700,421688
4710,424672
4720,425064
4730,425792
4740,425272
4750,432040
4760,433776
4770,432848
4780,435376
4790,434952
4800,435464
4810,435952
4820,436728
4830,438752
4840,438160
4850,439440
4860,440336
4870,440296
4880,440640
4890,441968
4900,441952
4910,443520
4920,442496
4930,444160
4940,444912
4950,445184
4960,444952
4970,445776
4980,447488
4990,447424
