Term Amount,Time (ms)
0,0
10,0.001
20,0.003
30,0.002
40,0.003
50,0.004
60,0.004
70,0.005
80,0.006
90,0.007
100,0.008
110,0.01
120,0.01
130,0.01
140,0.052
150,0.02
160,0.016
170,0.012
180,0.013
190,0.018
200,0.014
210,0.015
220,0.015
230,0.015
240,0.016
250,0.018
260,0.021
270,0.027
280,0.02
290,0.02
300,0.021
310,0.022
320,0.022
330,0.023
340,0.023
350,0.026
360,0.032
370,0.026
380,0.027
390,0.026
400,0.029
410,0.029
420,0.029
430,0.037
440,0.03
450,0.031
460,0.031
470,0.033
480,0.033
490,0.04
500,0.036
510,0.036
520,0.037
530,0.036
540,0.038
550,0.045
560,0.041
570,0.039
580,0.041
590,0.041
600,0.047
610,0.042
620,0.044
630,0.045
640,0.05
650,0.046
660,0.047
670,0.046
680,0.053
690,0.055
700,0.047
710,0.05
720,0.057
730,0.05
740,0.05
750,0.052
760,0.058
770,0.053
780,0.055
790,0.061
800,0.056
810,0.055
820,0.055
830,0.062
840,0.059
850,0.059
860,0.067
870,0.061
880,0.061
890,0.068
900,0.063
910,0.066
920,0.069
930,0.066
940,0.064
950,0.072
960,0.066
970,0.068
980,0.074
990,0.07
1000,0.073
1010,0.077
1020,0.07
1030,0.076
1040,0.072
1050,0.073
1060,0.077
1070,0.075
1080,0.079
1090,0.077
1100,0.077
1110,0.082
1120,0.079
1130,0.087
1140,0.083
1150,0.084
1160,0.088
1170,0.08
1180,0.087
1190,0.082
1200,0.088
1210,0.085
1220,0.085
1230,0.094
1240,0.086
1250,0.094
1260,0.089
1270,0.095
1280,0.1
1290,0.098
1300,0.092
1310,0.098
1320,0.091
1330,0.1
1340,0.094
1350,0.156
1360,0.126
1370,0.106
1380,0.102
1390,0.095
1400,0.102
1410,0.104
1420,0.101
1430,0.105
1440,0.102
1450,0.107
1460,0.108
1470,0.103
1480,0.11
1490,0.11
1500,0.106
1510,0.113
1520,0.112
1530,0.108
1540,0.113
1550,0.112
1560,0.135
1570,0.116
1580,0.115
1590,0.13
1600,0.113
1610,0.119
1620,0.117
1630,0.117
1640,0.119
1650,0.122
1660,0.122
1670,0.119
1680,0.127
1690,0.123
1700,0.124
1710,0.119
1720,0.126
1730,0.127
1740,0.129
1750,0.124
1760,0.128
1770,0.128
1780,0.132
1790,0.129
1800,0.124
1810,0.133
1820,0.134
1830,0.133
1840,0.132
1850,0.13
1860,0.136
1870,0.136
1880,0.135
1890,0.14
1900,0.138
1910,0.134
1920,0.138
1930,0.151
1940,0.158
1950,0.14
1960,0.144
1970,0.143
1980,0.141
1990,0.144
2000,0.142
2010,0.144
2020,0.146
2030,0.149
2040,0.16
2050,0.165
2060,0.157
2070,0.152
2080,0.154
2090,0.16
2100,0.154
2110,0.147
2120,0.154
2130,0.153
2140,0.152
2150,0.156
2160,0.186
2170,0.159
2180,0.157
2190,0.156
2200,0.156
2210,0.16
2220,0.161
2230,0.162
2240,0.161
2250,0.168
2260,0.163
2270,0.169
2280,0.164
2290,0.167
2300,0.165
2310,0.166
2320,0.166
2330,0.172
2340,0.172
2350,0.173
2360,0.172
2370,0.175
2380,0.177
2390,0.18
2400,0.171
2410,0.176
2420,0.175
2430,0.192
2440,0.312
2450,0.277
2460,0.213
2470,0.227
2480,0.219
2490,0.218
2500,0.22
2510,0.228
2520,0.223
2530,0.224
2540,0.225
2550,0.218
2560,0.24
2570,0.195
2580,0.199
2590,0.196
2600,0.189
2610,0.189
2620,0.186
2630,0.185
2640,0.19
2650,0.195
2660,0.195
2670,0.191
2680,0.196
2690,0.194
2700,0.191
2710,0.197
2720,0.195
2730,0.203
2740,0.197
2750,0.194
2760,0.203
2770,0.2
2780,0.205
2790,0.2
2800,0.244
2810,0.222
2820,0.204
2830,0.21
2840,0.233
2850,0.237
2860,0.215
2870,0.224
2880,0.208
2890,0.213
2900,0.208
2910,0.21
2920,0.211
2930,0.208
2940,0.214
2950,0.213
2960,0.211
2970,0.208
2980,0.214
2990,0.24
3000,0.211
3010,0.222
3020,0.209
3030,0.212
3040,0.217
3050,0.259
3060,0.217
3070,0.212
3080,0.218
3090,0.219
3100,0.218
3110,0.222
3120,0.217
3130,0.236
3140,0.238
3150,0.223
3160,0.229
3170,0.223
3180,0.237
3190,0.296
3200,0.237
3210,0.235
3220,0.277
3230,0.356
3240,0.237
3250,0.248
3260,0.232
3270,0.24
3280,0.229
3290,0.238
3300,0.229
3310,0.233
3320,0.245
3330,0.235
3340,0.236
3350,0.232
3360,0.239
3370,0.233
3380,0.235
3390,0.239
3400,0.233
3410,0.238
3420,0.236
3430,0.238
3440,0.236
3450,0.235
3460,0.244
3470,0.241
3480,0.261
3490,0.243
3500,0.249
3510,0.278
3520,0.284
3530,0.284
3540,0.25
3550,0.251
3560,0.243
3570,0.265
3580,0.245
3590,0.27
3600,0.251
3610,0.252
3620,0.247
3630,0.269
3640,0.27
3650,0.257
3660,0.252
3670,0.256
3680,0.259
3690,0.253
3700,0.263
3710,0.26
3720,0.295
3730,0.29
3740,0.297
3750,0.274
3760,0.278
3770,0.352
3780,0.303
3790,0.285
3800,0.921
3810,0.549
3820,0.539
3830,0.337
3840,0.308
3850,0.339
3860,0.349
3870,0.328
3880,0.285
3890,0.303
3900,0.343
3910,0.291
3920,0.309
3930,0.287
3940,0.287
3950,0.326
3960,0.306
3970,0.278
3980,0.324
3990,0.319
4000,0.304
4010,0.316
4020,0.341
4030,0.33
4040,0.309
4050,0.308
4060,0.312
4070,0.362
4080,0.36
4090,0.335
4100,0.287
4110,0.286
4120,0.293
4130,0.296
4140,0.297
4150,0.287
4160,0.293
4170,0.294
4180,0.302
4190,0.288
4200,0.302
4210,0.312
4220,0.295
4230,0.3
4240,0.292
4250,0.295
4260,0.309
4270,0.341
4280,0.299
4290,0.307
4300,0.507
4310,0.379
4320,0.373
4330,0.37
4340,0.381
4350,0.374
4360,0.371
4370,0.308
4380,0.3
4390,0.302
4400,0.318
4410,0.3
4420,0.303
4430,0.309
4440,0.308
4450,0.306
4460,0.31
4470,0.31
4480,0.319
4490,0.311
4500,0.312
4510,0.317
4520,0.321
4530,0.32
4540,0.321
4550,0.321
4560,0.348
4570,0.334
4580,0.319
4590,0.32
4600,0.315
4610,0.327
4620,0.319
4630,0.318
4640,0.32
4650,0.312
4660,0.316
4670,0.315
4680,0.325
4690,0.323
4700,0.326
4710,0.329
4720,0.327
4730,0.327
4740,0.384
4750,0.355
