Term Amount,Peak Memory (b)
0,16
10,1304
20,2568
30,3848
40,5144
50,6424
60,7736
70,9032
80,10296
90,11624
100,12888
110,14080
120,15200
130,16776
140,17912
150,19248
160,20616
170,21856
180,23056
190,24288
200,25560
210,26864
220,28040
230,29328
240,30680
250,31968
260,33056
270,34120
280,35584
290,37320
300,38104
310,39728
320,40904
330,41968
340,43304
350,44480
360,46016
370,47080
380,48032
390,49984
400,50880
410,52056
420,53464
430,54752
440,55816
450,57352
460,58584
470,59368
480,61280
490,62176
500,63408
510,64864
520,66384
530,67168
540,68512
550,69240
560,71872
570,71760
580,73216
590,74728
600,76280
610,77120
620,78576
630,79416
640,80984
650,82504
660,82840
670,84240
680,85192
690,86648
700,88776
710,89504
720,91072
730,92416
740,93536
750,94440
760,95840
770,97184
780,98360
790,99424
800,100208
810,102632
820,103472
830,104704
840,105544
850,107280
860,108120
870,108288
880,111072
890,111520
900,113368
910,114208
920,114880
930,116280
940,118824
950,119552
960,120952
970,121904
980,123024
990,124648
1000,125208
1010,125880
1020,128704
1030,129208
1040,129824
1050,131112
1060,132288
1070,133296
1080,134472
1090,136736
1100,137856
1110,139144
1120,139480
1130,140992
1140,142112
1150,144184
1160,143960
1170,146200
1180,147904
1190,149080
1200,149976
1210,150760
1220,152216
1230,153112
1240,154792
1250,154568
1260,156920
1270,157872
1280,160848
1290,160512
1300,160512
1310,162528
1320,164152
1330,166000
1340,167344
1350,167456
1360,167792
1370,169248
1380,171888
1390,172336
1400,174184
1410,174912
1420,176312
1430,177096
1440,178104
1450,178888
1460,179168
1470,180064
1480,182192
1490,186280
1500,185664
1510,187344
1520,188184
1530,189360
1540,189136
1550,190592
1560,193112
1570,193448
1580,193952
1590,194960
1600,194792
1610,199112
1620,200344
1630,202080
1640,201912
1650,202976
1660,204712
1670,205104
1680,206840
1690,207456
1700,207568
1710,208520
1720,210704
1730,212160
1740,214656
1750,215888
1760,216616
1770,217624
1780,219528
1790,220312
1800,220984
1810,221600
1820,223448
1830,223616
1840,224344
1850,226080
1860,226696
1870,230624
1880,231072
1890,232864
1900,233648
1910,233200
1920,233704
1930,236728
1940,236392
1950,238072
1960,240032
1970,240200
1980,240872
1990,240984
2000,242720
2010,243840
2020,247592
2030,247928
2040,250392
2050,251120
2060,251960
2070,252688
2080,253528
2090,254592
2100,255320
2110,255824
2120,257336
2130,257840
2140,260752
2150,259912
2160,263552
2170,261424
2180,265432
2190,268512
2200,267672
2210,269744
2220,270304
2230,269912
2240,270976
2250,273272
2260,274672
2270,274616
2280,275512
2290,277024
2300,278424
2310,276352
2320,279320
2330,279768
2340,282008
2350,282008
2360,287992
2370,288216
2380,288328
2390,289448
2400,291520
2410,293032
2420,292360
2430,294320
2440,294824
2450,295440
2460,296728
2470,298184
2480,299640
2490,299024
2500,302104
2510,299976
2520,302384
2530,303560
2540,302272
2550,309072
2560,310696
2570,309352
2580,311760
2590,312824
2600,315960
2610,313888
2620,315904
2630,315400
2640,317472
2650,318648
2660,319824
2670,321336
2680,321952
2690,320664
2700,321672
2710,322232
2720,324024
2730,325872
2740,327160
2750,326264
2760,331992
2770,333224
2780,332720
2790,335912
2800,335912
2810,336584
2820,336136
2830,339328
2840,340840
2850,341232
2860,342184
2870,340728
2880,342800
2890,346048
2900,345656
2910,346888
2920,347560
2930,345432
2940,349184
2950,350248
2960,349520
2970,351704
2980,354712
2990,358520
3000,359472
3010,357792
3020,360032
3030,360928
3040,362552
3050,364064
3060,364512
3070,366304
3080,364848
3090,366920
3100,369664
3110,367704
3120,368320
3130,370504
3140,370000
3150,372296
3160,373304
3170,373920
3180,374368
3190,376776
3200,380136
3210,377560
3220,383752
3230,384592
3240,387000
3250,386720
3260,386048
3270,388232
3280,389800
3290,389464
3300,391368
3310,390640
3320,391536
3330,394336
3340,393272
3350,396968
3360,394840
3370,396912
3380,398536
3390,397864
3400,399488
3410,400776
3420,399992
3430,403296
3440,402512
3450,405536
3460,404472
3470,402960
3480,410752
3490,411928
3500,412824
3510,414392
3520,414448
3530,414392
3540,413832
3550,417080
3560,417752
3570,419432
3580,419936
3590,421896
3600,420440
3610,421448
3620,423240
3630,422960
3640,426712
3650,425928
3660,429456
3670,430632
3680,431080
