Term Amount,Time (ms)
0,0
10,0.001
20,0.001
30,0.001
40,0.001
50,0
60,0.001
70,0
80,0.001
90,0.001
100,0.001
110,0.001
120,0
130,0.001
140,0.001
150,0.001
160,0.001
170,0.001
180,0.001
190,0.001
200,0.001
210,0.001
220,0.001
230,0.002
240,0.001
250,0.001
260,0.001
270,0.002
280,0.001
290,0.001
300,0.001
310,0.001
320,0.001
330,0.002
340,0.001
350,0.001
360,0.001
370,0.001
380,0.001
390,0.004
400,0.002
410,0.001
420,0.003
430,0.001
440,0.001
450,0.001
460,0.002
470,0.001
480,0.001
490,0.001
500,0.001
510,0.001
520,0.002
530,0.002
540,0.002
550,0.004
560,0.002
570,0.002
580,0.002
590,0.002
600,0.002
610,0.001
620,0.002
630,0.002
640,0.001
650,0.002
660,0.002
670,0.002
680,0.001
690,0.002
700,0.002
710,0.002
720,0.002
730,0.002
740,0.002
750,0.001
760,0.002
770,0.002
780,0.002
790,0.002
800,0.002
810,0.003
820,0.002
830,0.002
840,0.002
850,0.002
860,0.002
870,0.002
880,0.002
890,0.003
900,0.002
910,0.002
920,0.003
930,0.007
940,0.002
950,0.002
960,0.003
970,0.002
980,0.003
990,0.002
1000,0.003
1010,0.002
1020,0.002
1030,0.003
1040,0.003
1050,0.003
1060,0.002
1070,0.003
1080,0.003
1090,0.002
1100,0.003
1110,0.002
1120,0.003
1130,0.003
1140,0.002
1150,0.003
1160,0.003
1170,0.003
1180,0.003
1190,0.003
1200,0.003
1210,0.003
1220,0.003
1230,0.003
1240,0.003
1250,0.003
1260,0.003
1270,0.003
1280,0.003
1290,0.003
1300,0.003
1310,0.003
1320,0.003
1330,0.003
1340,0.004
1350,0.003
1360,0.003
1370,0.003
1380,0.004
1390,0.003
1400,0.003
1410,0.004
1420,0.004
1430,0.003
1440,0.004
1450,0.003
1460,0.004
1470,0.003
1480,0.003
1490,0.004
1500,0.004
1510,0.004
1520,0.003
1530,0.004
1540,0.003
1550,0.004
1560,0.004
1570,0.004
1580,0.004
1590,0.004
1600,0.004
1610,0.004
1620,0.005
1630,0.003
1640,0.004
1650,0.004
1660,0.004
1670,0.004
1680,0.004
1690,0.004
1700,0.004
1710,0.011
1720,0.004
1730,0.004
1740,0.004
1750,0.005
1760,0.004
1770,0.004
1780,0.004
1790,0.005
1800,0.004
1810,0.004
1820,0.004
1830,0.005
1840,0.004
1850,0.005
1860,0.004
1870,0.006
1880,0.004
1890,0.005
1900,0.005
1910,0.004
1920,0.005
1930,0.005
1940,0.005
1950,0.005
1960,0.005
1970,0.004
1980,0.005
1990,0.005
2000,0.005
2010,0.005
2020,0.006
2030,0.008
2040,0.011
2050,0.024
2060,0.013
2070,0.014
2080,0.013
2090,0.013
2100,0.014
2110,0.011
2120,0.007
2130,0.005
2140,0.005
2150,0.005
2160,0.005
2170,0.007
2180,0.005
2190,0.005
2200,0.005
2210,0.005
2220,0.006
2230,0.005
2240,0.005
2250,0.006
2260,0.005
2270,0.006
2280,0.005
2290,0.006
2300,0.005
2310,0.006
2320,0.005
2330,0.006
2340,0.005
2350,0.006
2360,0.005
2370,0.006
2380,0.006
2390,0.005
2400,0.005
2410,0.006
2420,0.005
2430,0.006
2440,0.006
2450,0.006
2460,0.005
2470,0.006
2480,0.006
2490,0.005
2500,0.006
2510,0.006
2520,0.006
2530,0.006
2540,0.006
2550,0.006
2560,0.006
2570,0.006
2580,0.006
2590,0.006
2600,0.006
2610,0.006
2620,0.007
2630,0.006
2640,0.006
2650,0.006
2660,0.006
2670,0.006
2680,0.005
2690,0.015
2700,0.006
2710,0.006
2720,0.006
2730,0.006
2740,0.006
2750,0.007
2760,0.006
2770,0.006
2780,0.007
2790,0.006
2800,0.007
2810,0.007
2820,0.007
2830,0.006
2840,0.006
2850,0.007
2860,0.007
2870,0.006
2880,0.007
2890,0.006
2900,0.007
2910,0.007
2920,0.006
2930,0.006
2940,0.006
2950,0.007
2960,0.007
2970,0.007
2980,0.007
2990,0.007
3000,0.007
3010,0.007
3020,0.007
3030,0.007
3040,0.007
3050,0.007
3060,0.007
3070,0.008
3080,0.007
3090,0.007
3100,0.007
3110,0.007
3120,0.007
3130,0.007
3140,0.007
3150,0.008
3160,0.007
3170,0.007
3180,0.007
3190,0.007
3200,0.008
3210,0.007
3220,0.007
3230,0.008
3240,0.007
3250,0.007
3260,0.008
3270,0.007
3280,0.007
3290,0.008
3300,0.008
3310,0.008
3320,0.008
3330,0.007
3340,0.007
3350,0.008
3360,0.008
3370,0.008
3380,0.008
3390,0.008
3400,0.008
3410,0.007
3420,0.007
3430,0.008
3440,0.009
3450,0.008
3460,0.008
3470,0.007
3480,0.008
3490,0.008
3500,0.008
3510,0.008
3520,0.008
3530,0.015
3540,0.008
3550,0.008
3560,0.007
3570,0.008
3580,0.009
3590,0.008
3600,0.009
3610,0.008
3620,0.008
3630,0.008
3640,0.008
3650,0.009
3660,0.008
3670,0.008
3680,0.008
3690,0.009
3700,0.008
3710,0.008
3720,0.009
3730,0.009
3740,0.008
3750,0.009
3760,0.008
3770,0.009
3780,0.008
3790,0.009
3800,0.008
3810,0.009
3820,0.009
3830,0.009
3840,0.009
3850,0.009
3860,0.009
3870,0.009
3880,0.009
3890,0.009
3900,0.009
3910,0.008
3920,0.008
3930,0.009
3940,0.009
3950,0.008
3960,0.008
3970,0.009
3980,0.009
3990,0.009
4000,0.009
4010,0.009
4020,0.01
4030,0.01
4040,0.009
4050,0.009
4060,0.009
4070,0.009
4080,0.01
4090,0.01
4100,0.035
4110,0.009
4120,0.009
4130,0.009
4140,0.009
4150,0.01
4160,0.009
4170,0.01
4180,0.01
4190,0.01
4200,0.01
4210,0.011
4220,0.01
4230,0.009
4240,0.01
4250,0.01
4260,0.014
4270,0.01
4280,0.01
4290,0.01
4300,0.01
4310,0.01
4320,0.011
4330,0.009
4340,0.01
4350,0.01
4360,0.01
4370,0.01
4380,0.01
4390,0.011
4400,0.01
4410,0.01
4420,0.01
4430,0.011
4440,0.01
4450,0.011
4460,0.01
4470,0.01
4480,0.01
4490,0.01
4500,0.01
4510,0.011
4520,0.011
4530,0.011
4540,0.011
4550,0.01
4560,0.011
4570,0.01
4580,0.01
4590,0.012
4600,0.01
4610,0.011
4620,0.01
4630,0.011
4640,0.011
4650,0.01
4660,0.01
4670,0.01
4680,0.011
4690,0.011
4700,0.011
4710,0.01
4720,0.015
4730,0.013
4740,0.011
4750,0.011
4760,0.011
