Term Amount,Peak Memory (b)
0,0
10,320
20,640
30,960
40,1280
50,1600
60,1920
70,2240
80,2560
90,2880
100,3200
110,3520
120,3840
130,4160
140,4480
150,4800
160,5120
170,5440
180,5760
190,6080
200,6400
210,6720
220,7040
230,7360
240,7680
250,8000
260,8320
270,8640
280,8960
290,9280
300,9600
310,9920
320,10240
330,10560
340,10880
350,11200
360,11520
370,11840
380,12160
390,12480
400,12800
410,13120
420,13440
430,13760
440,14080
450,14400
460,14720
470,15040
480,15360
490,15680
500,16000
510,16320
520,16640
530,16960
540,17280
550,17600
560,17920
570,18240
580,18560
590,18880
600,19200
610,19520
620,19840
630,20160
640,20480
650,20800
660,21120
670,21440
680,21760
690,22080
700,22400
710,22720
720,23040
730,23360
740,23680
750,24000
760,24320
770,24640
780,24960
790,25280
800,25600
810,25920
820,26240
830,26560
840,26880
850,27200
860,27520
870,27840
880,28160
890,28480
900,28800
910,29120
920,29440
930,29760
940,30080
950,30400
960,30720
970,31040
980,31360
990,31680
1000,32000
1010,32320
1020,32640
1030,32960
1040,33280
1050,33600
1060,33920
1070,34240
1080,34560
1090,34880
1100,35200
1110,35520
1120,35840
1130,36160
1140,36480
1150,36800
1160,37120
1170,37440
1180,37760
1190,38080
1200,38400
1210,38720
1220,39040
1230,39360
1240,39680
1250,40000
1260,40320
1270,40640
1280,40960
1290,41280
1300,41600
1310,41920
1320,42240
1330,42560
1340,42880
1350,43200
1360,43520
1370,43840
1380,44160
1390,44480
1400,44800
1410,45120
1420,45440
1430,45760
1440,46080
1450,46400
1460,46720
1470,47040
1480,47360
1490,47680
1500,48000
1510,48320
1520,48640
1530,48960
1540,49280
1550,49600
1560,49920
1570,50240
1580,50560
1590,50880
1600,51200
1610,51520
1620,51840
1630,52160
1640,52480
1650,52800
1660,53120
1670,53440
1680,53760
1690,54080
1700,54400
1710,54720
1720,55040
1730,55360
1740,55680
1750,56000
1760,56320
1770,56640
1780,56960
1790,57280
1800,57600
1810,57920
1820,58240
1830,58560
1840,58880
1850,59200
1860,59520
1870,59840
1880,60160
1890,60480
1900,60800
1910,61120
1920,61440
1930,61760
1940,62080
1950,62400
1960,62720
1970,63040
1980,63360
1990,63680
2000,64000
2010,64320
2020,64640
2030,64960
2040,65280
2050,65600
2060,65920
2070,66240
2080,66560
2090,66880
2100,67200
2110,67520
2120,67840
2130,68160
2140,68480
2150,68800
2160,69120
