Term Amount,Time (ms)
0,0
10,0.003
20,0.004
30,0.003
40,0.003
50,0.003
60,0.004
70,0.005
80,0.006
90,0.006
100,0.007
110,0.007
120,0.008
130,0.008
140,0.009
150,0.01
160,0.024
170,0.011
180,0.011
190,0.013
200,0.013
210,0.014
220,0.013
230,0.015
240,0.015
250,0.015
260,0.016
270,0.024
280,0.018
290,0.018
300,0.018
310,0.048
320,0.021
330,0.022
340,0.029
350,0.028
360,0.026
370,0.023
380,0.024
390,0.024
400,0.033
410,0.026
420,0.026
430,0.026
440,0.028
450,0.028
460,0.035
470,0.029
480,0.03
490,0.03
500,0.031
510,0.031
520,0.038
530,0.032
540,0.036
550,0.033
560,0.042
570,0.034
580,0.04
590,0.034
600,0.035
610,0.036
620,0.043
630,0.036
640,0.037
650,0.038
660,0.038
670,0.045
680,0.039
690,0.04
700,0.04
710,0.04
720,0.046
730,0.042
740,0.042
750,0.043
760,0.042
770,0.043
780,0.049
790,0.044
800,0.048
810,0.045
820,0.045
830,0.052
840,0.047
850,0.048
860,0.047
870,0.048
880,0.054
890,0.049
900,0.049
910,0.05
920,0.05
930,0.084
940,0.098
950,0.099
960,0.115
970,0.103
980,0.11
990,0.099
1000,0.101
1010,0.117
1020,0.114
1030,0.108
1040,0.117
1050,0.12
1060,0.107
1070,0.118
1080,0.118
1090,0.108
1100,0.132
1110,0.129
1120,0.141
1130,0.118
1140,0.12
1150,0.123
1160,0.122
1170,0.136
1180,0.124
1190,0.13
1200,0.126
1210,0.128
1220,0.14
1230,0.13
1240,0.147
1250,0.129
1260,0.146
1270,0.136
1280,0.137
1290,0.15
1300,0.14
1310,0.141
1320,0.152
1330,0.15
1340,0.143
1350,0.155
1360,0.145
1370,0.148
1380,0.147
1390,0.172
1400,0.149
1410,0.129
1420,0.141
1430,0.16
1440,0.148
1450,0.182
1460,0.17
1470,0.155
1480,0.155
1490,0.158
1500,0.176
1510,0.187
1520,0.162
1530,0.173
1540,0.163
1550,0.163
1560,0.166
1570,0.176
1580,0.178
1590,0.171
1600,0.162
1610,0.169
1620,0.173
1630,0.171
1640,0.174
1650,0.169
1660,0.173
1670,0.176
1680,0.184
1690,0.19
1700,0.18
1710,0.182
1720,0.181
1730,0.204
1740,0.18
1750,0.194
1760,0.186
1770,0.196
1780,0.197
1790,0.216
1800,0.178
1810,0.183
1820,0.193
1830,0.19
1840,0.175
1850,0.129
1860,0.097
1870,0.107
1880,0.099
1890,0.099
1900,0.11
1910,0.1
1920,0.1
1930,0.106
1940,0.102
1950,0.102
1960,0.168
1970,0.112
1980,0.233
1990,0.116
2000,0.114
2010,0.114
2020,0.135
2030,0.139
2040,0.132
2050,0.138
2060,0.134
2070,0.171
2080,0.183
2090,0.166
2100,0.163
2110,0.212
2120,0.193
2130,0.185
2140,0.167
2150,0.172
2160,0.186
2170,0.232
2180,0.252
2190,0.217
2200,0.185
2210,0.182
2220,0.154
2230,0.124
2240,0.18
2250,0.25
2260,0.15
2270,0.169
2280,0.223
2290,0.119
2300,0.174
2310,0.153
2320,0.12
2330,0.24
2340,0.204
2350,0.193
2360,0.232
2370,0.267
2380,0.207
2390,0.197
2400,0.249
2410,0.214
2420,0.228
2430,0.189
2440,0.175
2450,0.224
2460,0.201
2470,0.179
2480,0.137
2490,0.129
2500,0.136
2510,0.133
2520,0.13
2530,0.136
2540,0.131
2550,0.137
2560,0.133
2570,0.132
2580,0.142
2590,0.134
2600,0.14
2610,0.134
2620,0.135
2630,0.141
2640,0.136
2650,0.175
2660,0.137
2670,0.137
2680,0.145
2690,0.138
2700,0.145
2710,0.139
2720,0.144
2730,0.146
2740,0.14
2750,0.147
2760,0.142
2770,0.142
2780,0.151
2790,0.142
2800,0.149
2810,0.166
2820,0.149
2830,0.153
2840,0.147
2850,0.157
2860,0.147
2870,0.155
2880,0.148
2890,0.149
2900,0.155
2910,0.151
2920,0.156
2930,0.15
2940,0.157
2950,0.151
2960,0.2
2970,0.163
2980,0.154
2990,0.159
3000,0.154
3010,0.16
3020,0.156
3030,0.157
3040,0.162
3050,0.156
3060,0.163
3070,0.157
3080,0.164
3090,0.161
3100,0.165
3110,0.159
3120,0.16
3130,0.166
3140,0.161
3150,0.169
3160,0.162
3170,0.168
3180,0.163
3190,0.162
3200,0.169
3210,0.166
3220,0.171
3230,0.165
3240,0.171
3250,0.166
3260,0.172
3270,0.172
3280,0.167
3290,0.172
3300,0.168
3310,0.174
3320,0.168
3330,0.176
3340,0.169
3350,0.176
3360,0.171
3370,0.17
3380,0.18
3390,0.171
3400,0.178
3410,0.173
3420,0.179
3430,0.173
3440,0.182
3450,0.174
3460,0.181
3470,0.175
3480,0.176
3490,0.209
3500,0.209
3510,0.188
3520,0.182
3530,0.251
3540,0.185
3550,0.188
3560,0.182
3570,0.188
3580,0.184
3590,0.202
3600,0.185
3610,0.191
3620,0.186
3630,0.19
3640,0.188
3650,0.191
3660,0.186
3670,0.192
3680,0.188
3690,0.194
3700,0.189
3710,0.194
3720,0.19
3730,0.194
3740,0.193
3750,0.195
3760,0.191
3770,0.196
3780,0.193
3790,0.248
3800,0.395
3810,0.365
3820,0.205
3830,0.194
3840,0.202
3850,0.195
3860,0.202
3870,0.198
3880,0.203
3890,0.196
3900,0.205
3910,0.197
3920,0.206
3930,0.239
3940,0.271
3950,0.206
3960,0.204
3970,0.206
3980,0.202
3990,0.206
4000,0.269
4010,0.208
4020,0.203
4030,0.209
4040,0.204
4050,0.212
4060,0.206
4070,0.211
4080,0.206
4090,0.211
4100,0.209
4110,0.212
4120,0.208
4130,0.213
4140,0.21
4150,0.218
4160,0.21
4170,0.217
4180,0.211
4190,0.22
4200,0.211
4210,0.219
4220,0.218
4230,0.217
4240,0.219
4250,0.215
4260,0.22
4270,0.216
4280,0.223
4290,0.218
4300,0.222
4310,0.218
4320,0.234
4330,0.22
4340,0.226
4350,0.226
4360,0.219
4370,0.228
4380,0.22
4390,0.227
4400,0.22
4410,0.231
4420,0.222
4430,0.229
4440,0.247
4450,0.236
4460,0.229
4470,0.225
4480,0.231
4490,0.228
4500,0.232
4510,0.227
4520,0.232
4530,0.228
4540,0.235
4550,0.235
4560,0.228
4570,0.235
4580,0.231
4590,0.237
4600,0.23
4610,0.238
4620,0.233
4630,0.239
4640,0.238
4650,0.234
4660,0.244
4670,0.241
4680,0.241
4690,0.248
4700,0.241
4710,0.307
4720,0.241
4730,0.261
4740,0.238
4750,0.256
4760,0.238
4770,0.256
4780,0.245
4790,0.247
4800,0.247
4810,0.242
4820,0.251
4830,0.242
