Term Amount,Peak Memory (b)
0,16
10,4824
20,19224
30,43384
40,76424
50,119312
60,171920
70,232400
80,300600
90,377656
100,465480
110,561536
120,660352
130,771072
140,889592
150,1008784
160,1135328
170,1271568
180,1401008
190,1566776
200,1705752
210,1855280
220,1999176
230,2159432
240,2348120
250,2527064
260,2708544
270,2888248
280,3018920
290,3217808
300,3412496
310,3621840
320,3820448
330,4031336
340,4174680
350,4427736
360,4634968
370,4883448
380,5075736
390,5320352
400,5539872
410,5706456
420,6001744
430,6178904
440,6425552
450,6726728
460,6904272
470,7231424
480,7373608
490,7724424
500,7973568
510,8301248
520,8499024
530,8849360
540,8998600
550,9444728
560,9648392
570,9987368
580,10242168
590,10421016
600,10844704
610,11052440
620,11497440
630,11715056
640,11983032
650,12483936
660,12693728
670,13203248
680,13448936
690,13610680
700,14279864
710,14468384
720,14691400
730,15258056
740,15507032
750,15786472
760,16377224
770,16698896
780,16921960
790,17602872
800,17772024
810,18116600
820,18790904
830,19079072
840,19335616
850,20101008
860,20357832
870,20669840
880,21458808
890,21738624
900,21986144
910,22341432
920,23175584
930,23479456
940,23784152
950,24720048
960,25004120
970,25314144
980,25623816
990,26599072
1000,26926304
1010,27240968
1020,27606832
1030,28610304
1040,29004000
1050,29243648
1060,29655240
1070,30740496
1080,31011224
1090,31486848
1100,31804584
1110,32165096
1120,33354672
1130,33675600
1140,34040888
1150,34497456
1160,35700888
1170,36095792
1180,36440184
1190,36810960
1200,37184336
1210,38556816
1220,38917056
1230,39312584
1240,39696888
1250,40143552
1260,41607064
1270,41961296
1280,42431792
1290,42772984
1300,43240664
1310,44749496
1320,45204736
1330,45617456
1340,46033592
1350,46492168
1360,48143000
1370,48560672
1380,48967000
1390,49434536
1400,49911872
1410,51695360
1420,52100352
1430,52538040
1440,53023016
1450,53485896
1460,53949840
1470,55860248
1480,56341056
1490,56807160
1500,57249032
1510,57802416
1520,58267968
1530,60279464
1540,60759552
1550,61225848
1560,61781864
1570,62257272
1580,62743008
1590,64929704
1600,65414664
1610,65982600
1620,66447848
1630,66987600
1640,67537704
1650,69841384
1660,70353944
1670,70902176
1680,71450632
1690,71957120
1700,72531560
1710,73089568
1720,75599432
1730,76089128
1740,76683880
1750,77216000
1760,77804216
1770,78377344
1780,78944984
1790,81566736
1800,82166312
1810,82738344
1820,83350824
1830,83916944
1840,84479400
1850,85085352
1860,87914384
1870,88561128
1880,89158080
1890,89711312
1900,90382224
1910,90940920
1920,91552856
1930,94609944
1940,95261472
1950,95884472
1960,96510096
1970,97113432
1980,97781816
1990,98408904
2000,99072912
2010,102363176
2020,102972408
2030,103630560
2040,104271776
2050,104984016
2060,105625632
2070,106261784
2080,106951704
2090,110432312
2100,111150424
2110,111822632
2120,112444304
2130,113117032
2140,113841896
2150,114554720
2160,115255696
2170,115928648
2180,119685176
2190,120450352
2200,121110248
2210,121834904
2220,122555200
2230,123255440
2240,123983456
2250,124720744
2260,128749104
2270,129461472
2280,130209080
2290,130940016
2300,131689128
2310,132412136
2320,133151832
2330,133931784
2340,134616296
2350,139041032
2360,139758704
2370,140514424
2380,141264680
2390,142059992
2400,142834240
2410,143597312
2420,144352256
2430,145148632
2440,145951544
2450,150606720
2460,151395464
2470,152213520
2480,153005664
2490,153754424
2500,154592424
2510,155380080
2520,156178328
2530,157014480
2540,157839168
2550,162870640
2560,163710632
2570,164506208
2580,165355744
2590,166168208
2600,167002040
2610,167851288
2620,168637016
2630,169535888
2640,170367520
2650,175770824
2660,176611376
2670,177505696
2680,178355768
2690,179216744
2700,180082600
2710,180933944
2720,181830296
2730,182646376
2740,183527312
2750,189389504
2760,190256704
2770,191131448
2780,192038816
2790,192933808
2800,193841336
2810,194712512
2820,195627520
2830,196541432
2840,197447528
2850,198390928
2860,204647976
2870,205545888
2880,206463224
2890,207398616
2900,208339824
2910,209254280
2920,210174840
2930,211132824
2940,212056712
2950,213016344
2960,213933744
2970,214886072
2980,221620608
2990,222641544
3000,223545056
3010,224491656
3020,225490656
3030,226443080
3040,227431920
3050,228385200
3060,229408400
3070,230326152
3080,231315384
3090,232332104
3100,239601416
3110,240606848
3120,241597144
3130,242593496
3140,243585128
3150,244600528
3160,245611712
3170,246658040
3180,247660936
3190,248666216
3200,249695840
3210,250705336
3220,258527232
3230,259534032
3240,260570576
3250,261625776
3260,262706784
3270,263703128
3280,264775080
3290,265832760
3300,266887640
3310,267922344
3320,268989912
3330,270034088
3340,271132584
3350,279554048
3360,280612408
3370,281652152
3380,282755120
3390,283847800
3400,284952920
3410,286027208
3420,287125600
3430,288234200
3440,289309832
3450,290401528
3460,291521168
3470,292647632
3480,293769640
3490,302820936
3500,303931896
3510,305061248
3520,306175008
3530,307313568
3540,308452544
3550,309599112
3560,310689096
3570,311842616
3580,313013088
3590,314160768
3600,315301544
3610,316448856
3620,317607192
3630,327335576
3640,328527648
3650,329692368
3660,330855536
3670,332023128
3680,333212448
3690,334366400
3700,335566728
3710,336772656
3720,337946120
3730,339148128
3740,340351656
3750,341539856
3760,342746544
3770,353216376
3780,354430784
3790,355667040
3800,356851272
3810,358100144
3820,359330760
3830,360521592
3840,361772624
3850,362977752
3860,364226736
3870,365477216
3880,366719736
3890,367930752
3900,369186152
3910,370459608
3920,381758472
3930,383007296
3940,384281688
3950,385510104
3960,386793032
3970,388069680
3980,389352696
3990,390630032
4000,391881120
4010,393163104
4020,394474400
4030,395752536
4040,397044048
4050,398348936
4060,399626904
4070,400930008
4080,413108336
4090,414438864
4100,415712856
4110,417048872
4120,418359504
4130,419682912
4140,421022072
4150,422348256
4160,423676032
4170,425003024
4180,426346032
4190,427657848
4200,429043688
4210,430382352
4220,431729832
4230,433085288
4240,446200976
4250,447536024
4260,448900120
4270,450272648
4280,451670840
4290,453024592
4300,454377968
4310,455776016
4320,457142368
4330,458557448
4340,459910952
4350,461318800
4360,462719024
4370,464120384
4380,465506848
4390,466907288
4400,468332264
4410,482466848
4420,483867552
4430,485304864
4440,486709472
4450,488133912
4460,489562536
4470,490990520
4480,492436392
4490,493852368
4500,495307256
4510,496744536
4520,498188856
4530,499634840
4540,501078264
4550,502547976
4560,503993264
4570,505449216
4580,506914584
4590,522169112
4600,523632528
4610,525108000
4620,526580312
4630,528073680
4640,529526472
4650,531049544
4660,532545528
4670,534035328
4680,535514576
4690,537023712
4700,538517688
4710,540018008
4720,541523064
4730,543047616
4740,544548272
4750,546091176
4760,547576008
4770,564026480
4780,565552272
4790,567089832
4800,568628936
4810,570147096
4820,571685376
4830,573225608
4840,574798920
4850,576341328
4860,577898168
4870,579469344
4880,581027688
4890,582571928
4900,584134176
4910,585717096
4920,587282936
4930,588871176
4940,590439912
4950,592030640
4960,593619096
4970,611328128
4980,612922864
4990,614492672
