Term Amount,Time (ms)
0,0.004
10,0.019
20,0.053
30,0.124
40,0.195
50,0.318
60,0.414
70,0.554
80,0.69
90,0.887
100,1.126
110,1.289
120,1.605
130,1.968
140,2.086
150,2.494
160,2.808
170,4.566
180,5.339
190,4.233
200,4.453
210,4.808
220,5.296
230,5.795
240,6.626
250,7.581
260,7.789
270,7.382
280,8.104
290,8.897
300,9.498
310,11.382
320,13.791
330,12.393
340,13.406
350,15.248
360,13.166
370,13.523
380,14.505
390,19.781
400,15.519
410,28.999
420,17.452
430,19.071
440,24.144
450,20.34
460,21.427
470,29.569
480,29.205
490,29.88
500,26.299
510,33.72
520,34.178
530,29.843
540,34.164
550,35.875
560,36.28
570,40.245
580,35.578
590,52.678
600,43.546
610,43.462
620,47.621
630,43.788
640,55.712
650,49.614
660,57.536
670,69.021
680,94.198
690,74.181
700,63.977
710,70.373
720,62.21
730,69.526
740,81.163
750,71.835
760,79.379
770,81.734
780,79.293
790,88.505
800,86.598
810,162.154
820,120.34
830,101.489
840,98.534
850,114.864
860,105.969
870,108.546
880,116.808
890,116.412
900,260.996
910,149.386
920,167.925
930,193.843
940,172.557
950,139.201
960,140.803
970,167.985
980,163.225
990,198.194
1000,190.817
1010,183.87
1020,169.591
1030,183.854
1040,186.764
1050,208.336
1060,261.699
1070,186.473
1080,189.385
1090,222.184
1100,232.295
1110,225.893
1120,206.766
1130,224.107
1140,251.297
1150,216.746
1160,203.386
1170,206.82
1180,223.397
1190,230.113
1200,211.706
1210,221.56
1220,217.018
1230,243.847
1240,253.806
1250,235.573
1260,236.078
1270,257.951
1280,292.524
1290,258.871
1300,252.471
1310,259.356
1320,310.107
1330,274.018
1340,283.498
1350,296.507
1360,328.883
1370,308.072
1380,427.836
1390,427.609
1400,363.202
1410,440.58
1420,333.8
1430,522.522
1440,421.692
1450,364.796
1460,388.124
1470,397.812
1480,346.292
1490,354.117
1500,422.961
1510,366.521
1520,378.242
1530,388.738
1540,372.317
1550,363.09
1560,441.36
1570,392.186
1580,434.068
1590,419.542
1600,401.898
1610,466.724
1620,433.235
1630,460.035
1640,457.906
1650,450.514
1660,490.832
1670,538.365
1680,522.309
1690,508.742
1700,528.746
1710,527.61
1720,679.063
1730,488.959
1740,527.999
1750,506.746
1760,529.599
1770,531.695
1780,552.806
1790,551.896
1800,554.461
1810,557.204
1820,620.746
1830,599.192
1840,613.045
1850,671.173
1860,630.257
1870,690.453
1880,709.621
1890,657.079
1900,578.937
1910,585.337
1920,622.714
1930,579.067
1940,632.397
1950,657.678
1960,667.889
1970,666.058
1980,678.343
1990,700.835
2000,699.447
2010,776.419
2020,809.365
2030,742.299
2040,706.981
2050,837.482
2060,1029.07
2070,871.301
2080,1109.76
2090,725.684
2100,758.345
2110,790.589
2120,680.532
2130,750.337
2140,785.654
2150,699.45
2160,848.243
2170,750.432
2180,761.057
2190,820.057
2200,814.73
2210,728.933
2220,861.62
2230,780.372
2240,864.918
2250,894.315
2260,789.046
2270,755.692
2280,774.121
2290,1171.5
2300,1132.94
2310,937.745
2320,925.537
2330,931.823
2340,942.674
2350,967.722
2360,1193.08
2370,1148.57
2380,1109.5
2390,929.179
2400,955.299
2410,968.804
2420,1078.66
2430,975.17
2440,1095.28
2450,1073.85
2460,1203.76
2470,1074.76
2480,1132.44
2490,1228.6
2500,1300.07
2510,1323.52
2520,1436.72
